candidate_id,target,feature_profile,method,baseline,split,n_points,rmse,mae,relative_l2,normalized_rmse
ambench_line0_1_phase51_dense_csv,target_frame_range,process_time,knn,model:knn:fit=train,val,7,0.094752,0.094752,0.000246,0.000275
ambench_line0_1_phase51_dense_csv,target_frame_range,process_time,extra_trees,model:extra_trees:fit=train,test,7,129.083454,66.711824,0.382526,0.374124
ambench_line0_1_phase51_dense_csv,target_frame_range,process_time,extra_trees,model:extra_trees:fit=train,train,21,0.000000,0.000000,0.000000,0.000000
ambench_line0_1_phase51_dense_csv,target_frame_range,process_time,extra_trees,model:extra_trees:fit=train,val,7,0.000000,0.000000,0.000000,0.000000
ambench_line0_1_phase51_dense_csv,target_frame_range,process_time,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,7,121.394864,73.768683,0.359741,0.351841
ambench_line0_1_phase51_dense_csv,target_frame_range,process_time,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,21,73.468891,31.291626,0.195225,0.212936
ambench_line0_1_phase51_dense_csv,target_frame_range,process_time,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,7,16.466004,16.466004,0.042707,0.047724
ambench_line0_1_phase51_dense_csv,target_frame_range,line_process_time,knn,model:knn:fit=train,test,7,129.034511,66.752432,0.382381,0.373983
ambench_line0_1_phase51_dense_csv,target_frame_range,line_process_time,knn,model:knn:fit=train,train,21,68.516298,22.663316,0.182065,0.198582
ambench_line0_1_phase51_dense_csv,target_frame_range,line_process_time,knn,model:knn:fit=train,val,7,0.094752,0.094752,0.000246,0.000275
ambench_line0_1_phase51_dense_csv,target_frame_range,line_process_time,extra_trees,model:extra_trees:fit=train,test,7,129.083454,66.711824,0.382526,0.374124
ambench_line0_1_phase51_dense_csv,target_frame_range,line_process_time,extra_trees,model:extra_trees:fit=train,train,21,0.000000,0.000000,0.000000,0.000000
ambench_line0_1_phase51_dense_csv,target_frame_range,line_process_time,extra_trees,model:extra_trees:fit=train,val,7,0.000000,0.000000,0.000000,0.000000
ambench_line0_1_phase51_dense_csv,target_frame_range,line_process_time,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,7,121.394864,73.768683,0.359741,0.351841
ambench_line0_1_phase51_dense_csv,target_frame_range,line_process_time,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,21,73.468891,31.291626,0.195225,0.212936
ambench_line0_1_phase51_dense_csv,target_frame_range,line_process_time,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,7,16.466004,16.466004,0.042707,0.047724
