target,split_id,split_strategy,profile,profile_role,method,train_rows,val_rows,test_rows,train_balanced_accuracy,val_balanced_accuracy,test_balanced_accuracy,val_accuracy,test_accuracy,val_log_loss,test_log_loss,majority_val_balanced_accuracy,majority_test_balanced_accuracy,val_balanced_accuracy_gain_vs_majority,test_balanced_accuracy_gain_vs_majority,selected_admissible,selected_negative_control
gfa,chemistry_family_hash_2,group_hash_by_chemistry_family_key,common_plus_descriptors,admissible,knn,2379,1465,1836,0.719348725,0.573242850,0.562816080,0.675767918,0.753267974,0.722412504,0.799279897,0.500000000,0.500000000,0.073242850,0.062816080,false,false
gfa,chemistry_family_hash_2,group_hash_by_chemistry_family_key,common_plus_descriptors,admissible,extra_trees,2379,1465,1836,1.000000000,0.691403282,0.685201003,0.722184300,0.795206972,0.499305752,0.457761685,0.500000000,0.500000000,0.191403282,0.185201003,false,false
gfa,chemistry_family_hash_2,group_hash_by_chemistry_family_key,common_plus_descriptors,admissible,hist_gradient_boosting,2379,1465,1836,0.997040363,0.708781788,0.727611687,0.729692833,0.760348584,0.591851891,0.590049027,0.500000000,0.500000000,0.208781788,0.227611687,false,false
gfa,chemistry_family_hash_2,group_hash_by_chemistry_family_key,composition_hash_shortcut,negative_control,knn,2379,1465,1836,0.500000000,0.500000000,0.500000000,0.643686007,0.730392157,0.679133004,0.583876562,0.500000000,0.500000000,0.000000000,0.000000000,false,false
gfa,chemistry_family_hash_2,group_hash_by_chemistry_family_key,chemistry_family_shortcut,negative_control,knn,2379,1465,1836,0.662181665,0.500000000,0.500000000,0.643686007,0.730392157,4.922660378,3.724770734,0.500000000,0.500000000,0.000000000,0.000000000,false,false
gfa,chemistry_family_hash_2,group_hash_by_chemistry_family_key,dominant_element_shortcut,negative_control,knn,2379,1465,1836,0.615965581,0.671616428,0.507565589,0.655972696,0.691176471,0.686655161,0.677815742,0.500000000,0.500000000,0.171616428,0.007565589,false,false
gfa,chemistry_family_hash_2,group_hash_by_chemistry_family_key,dominant_element_shortcut,negative_control,extra_trees,2379,1465,1836,0.653079951,0.678099974,0.510121348,0.645051195,0.668845316,0.642622795,0.657881779,0.500000000,0.500000000,0.178099974,0.010121348,false,true
gfa,dominant_element_hash,group_hash_by_dominant_element,composition_descriptors,admissible,knn,2547,290,2843,0.720537129,0.598207687,0.565009300,0.872413793,0.664790714,0.823064614,0.908896954,0.500000000,0.500000000,0.098207687,0.065009300,false,false
gfa,dominant_element_hash,group_hash_by_dominant_element,composition_descriptors,admissible,extra_trees,2547,290,2843,1.000000000,0.641629712,0.689669108,0.882758621,0.729511080,0.301281685,0.550059418,0.500000000,0.500000000,0.141629712,0.189669108,false,false
gfa,dominant_element_hash,group_hash_by_dominant_element,composition_descriptors,admissible,hist_gradient_boosting,2547,290,2843,0.995719178,0.631467110,0.669562132,0.865517241,0.689412592,0.405458713,0.725799629,0.500000000,0.500000000,0.131467110,0.169562132,false,false
gfa,dominant_element_hash,group_hash_by_dominant_element,common_element_fractions,admissible,knn,2547,290,2843,0.720233131,0.609571323,0.513809596,0.875862069,0.649665846,0.685738182,0.893888186,0.500000000,0.500000000,0.109571323,0.013809596,false,false
gfa,dominant_element_hash,group_hash_by_dominant_element,common_element_fractions,admissible,extra_trees,2547,290,2843,0.959096452,0.563285292,0.538983232,0.844827586,0.653183257,0.489754514,1.998844162,0.500000000,0.500000000,0.063285292,0.038983232,false,false
gfa,dominant_element_hash,group_hash_by_dominant_element,common_element_fractions,admissible,hist_gradient_boosting,2547,290,2843,0.918424501,0.541759054,0.545748023,0.824137931,0.655997186,0.544697454,1.177440595,0.500000000,0.500000000,0.041759054,0.045748023,false,false
gfa,dominant_element_hash,group_hash_by_dominant_element,all_element_fractions,admissible,knn,2547,290,2843,0.740271652,0.607538803,0.545610977,0.872413793,0.661976785,0.638061864,0.881733043,0.500000000,0.500000000,0.107538803,0.045610977,false,false
gfa,dominant_element_hash,group_hash_by_dominant_element,all_element_fractions,admissible,extra_trees,2547,290,2843,1.000000000,0.582779010,0.540756752,0.862068966,0.660218079,0.332541171,0.642903664,0.500000000,0.500000000,0.082779010,0.040756752,false,false
gfa,dominant_element_hash,group_hash_by_dominant_element,all_element_fractions,admissible,hist_gradient_boosting,2547,290,2843,0.970841126,0.536492979,0.606406856,0.831034483,0.692226521,0.461917948,0.870967269,0.500000000,0.500000000,0.036492979,0.106406856,false,false
gfa,dominant_element_hash,group_hash_by_dominant_element,common_plus_descriptors,admissible,knn,2547,290,2843,0.737773816,0.609571323,0.511550627,0.875862069,0.643686247,0.672040648,0.877592354,0.500000000,0.500000000,0.109571323,0.011550627,false,false
gfa,dominant_element_hash,group_hash_by_dominant_element,common_plus_descriptors,admissible,extra_trees,2547,290,2843,1.000000000,0.646895787,0.629109358,0.875862069,0.715793176,0.416406063,0.551330993,0.500000000,0.500000000,0.146895787,0.129109358,true,false
gfa,dominant_element_hash,group_hash_by_dominant_element,common_plus_descriptors,admissible,hist_gradient_boosting,2547,290,2843,0.999490576,0.634700665,0.665783811,0.855172414,0.721772775,0.427835399,0.708331107,0.500000000,0.500000000,0.134700665,0.165783811,false,false
gfa,dominant_element_hash,group_hash_by_dominant_element,composition_hash_shortcut,negative_control,knn,2547,290,2843,0.500000000,0.500000000,0.500000000,0.848275862,0.642279282,0.454368075,0.680678449,0.500000000,0.500000000,0.000000000,0.000000000,false,false
gfa,dominant_element_hash,group_hash_by_dominant_element,chemistry_family_shortcut,negative_control,knn,2547,290,2843,0.700837497,0.394678492,0.516105182,0.289655172,0.404150545,7.774865425,7.013597691,0.500000000,0.500000000,-0.105321508,0.016105182,false,false
gfa,dominant_element_hash,group_hash_by_dominant_element,dominant_element_shortcut,negative_control,knn,2547,290,2843,0.657564341,0.500000000,0.500000000,0.848275862,0.642279282,0.510632267,0.653418215,0.500000000,0.500000000,0.000000000,0.000000000,false,false
gfa,dominant_element_hash,group_hash_by_dominant_element,dominant_element_shortcut,negative_control,extra_trees,2547,290,2843,0.674214405,0.500000000,0.500000000,0.848275862,0.642279282,0.430251503,0.731549760,0.500000000,0.500000000,0.000000000,0.000000000,false,true
gfa,element_count_bins,quartile_bins_by_element_count,composition_descriptors,admissible,knn,2840,1420,1420,0.760791506,0.571457420,0.681124095,0.750704225,0.687323944,0.975611219,1.238981065,0.500000000,0.500000000,0.071457420,0.181124095,false,false
gfa,element_count_bins,quartile_bins_by_element_count,composition_descriptors,admissible,extra_trees,2840,1420,1420,1.000000000,0.625974725,0.748353128,0.783098592,0.752112676,0.496503603,0.571642996,0.500000000,0.500000000,0.125974725,0.248353128,false,false
gfa,element_count_bins,quartile_bins_by_element_count,composition_descriptors,admissible,hist_gradient_boosting,2840,1420,1420,0.991138996,0.641166446,0.714183016,0.802816901,0.716197183,0.510651383,0.772413529,0.500000000,0.500000000,0.141166446,0.214183016,false,false
gfa,element_count_bins,quartile_bins_by_element_count,common_element_fractions,admissible,knn,2840,1420,1420,0.773429858,0.598976472,0.600078859,0.796478873,0.615492958,0.669019500,1.569010105,0.500000000,0.500000000,0.098976472,0.100078859,false,false
gfa,element_count_bins,quartile_bins_by_element_count,common_element_fractions,admissible,extra_trees,2840,1420,1420,0.980186615,0.644156608,0.635015652,0.763380282,0.643661972,0.610967655,1.112034857,0.500000000,0.500000000,0.144156608,0.135015652,false,false
gfa,element_count_bins,quartile_bins_by_element_count,common_element_fractions,admissible,hist_gradient_boosting,2840,1420,1420,0.938526384,0.623609876,0.636917421,0.751408451,0.645774648,0.498822898,0.871753641,0.500000000,0.500000000,0.123609876,0.136917421,false,false
gfa,element_count_bins,quartile_bins_by_element_count,all_element_fractions,admissible,knn,2840,1420,1420,0.776254826,0.587942280,0.612855561,0.822535211,0.623943662,0.737111275,1.331190298,0.500000000,0.500000000,0.087942280,0.112855561,false,false
gfa,element_count_bins,quartile_bins_by_element_count,all_element_fractions,admissible,extra_trees,2840,1420,1420,1.000000000,0.599050872,0.674841287,0.804929577,0.685211268,0.447379390,0.626647608,0.500000000,0.500000000,0.099050872,0.174841287,false,false
gfa,element_count_bins,quartile_bins_by_element_count,all_element_fractions,admissible,hist_gradient_boosting,2840,1420,1420,0.964633205,0.638231199,0.647065501,0.706338028,0.654225352,0.574459346,0.821207368,0.500000000,0.500000000,0.138231199,0.147065501,false,false
gfa,element_count_bins,quartile_bins_by_element_count,common_plus_descriptors,admissible,knn,2840,1420,1420,0.779787645,0.596510652,0.648740252,0.800704225,0.660563380,0.538625372,1.082018350,0.500000000,0.500000000,0.096510652,0.148740252,false,false
gfa,element_count_bins,quartile_bins_by_element_count,common_plus_descriptors,admissible,extra_trees,2840,1420,1420,1.000000000,0.621590454,0.735076589,0.806338028,0.741549296,0.452784881,0.541889021,0.500000000,0.500000000,0.121590454,0.235076589,false,false
gfa,element_count_bins,quartile_bins_by_element_count,common_plus_descriptors,admissible,hist_gradient_boosting,2840,1420,1420,0.993404118,0.644727006,0.713268972,0.828169014,0.716901408,0.461239499,0.735770555,0.500000000,0.500000000,0.144727006,0.213268972,true,false
gfa,element_count_bins,quartile_bins_by_element_count,composition_hash_shortcut,negative_control,knn,2840,1420,1420,0.500000000,0.500000000,0.500000000,0.831690141,0.530985915,0.472589352,0.802946709,0.500000000,0.500000000,0.000000000,0.000000000,false,false
gfa,element_count_bins,quartile_bins_by_element_count,chemistry_family_shortcut,negative_control,knn,2840,1420,1420,0.620778636,0.535416054,0.531495687,0.826760563,0.556338028,0.510087516,2.695011778,0.500000000,0.500000000,0.035416054,0.031495687,false,false
gfa,element_count_bins,quartile_bins_by_element_count,dominant_element_shortcut,negative_control,knn,2840,1420,1420,0.552741313,0.566229952,0.460389435,0.678169014,0.483802817,0.550065345,0.871059600,0.500000000,0.500000000,0.066229952,-0.039610565,false,false
gfa,element_count_bins,quartile_bins_by_element_count,dominant_element_shortcut,negative_control,extra_trees,2840,1420,1420,0.624485199,0.637115203,0.596498355,0.579577465,0.585915493,0.790605113,0.726404813,0.500000000,0.500000000,0.137115203,0.096498355,false,true
gfa,entropy_bins,quartile_bins_by_entropy_fraction,composition_descriptors,admissible,knn,2840,1420,1420,0.812608206,0.540227367,0.648105610,0.807746479,0.779577465,0.900610221,0.849852970,0.500000000,0.500000000,0.040227367,0.148105610,false,false
gfa,entropy_bins,quartile_bins_by_entropy_fraction,composition_descriptors,admissible,extra_trees,2840,1420,1420,1.000000000,0.668077608,0.718271704,0.804225352,0.793661972,0.438098098,0.452189559,0.500000000,0.500000000,0.168077608,0.218271704,false,false
gfa,entropy_bins,quartile_bins_by_entropy_fraction,composition_descriptors,admissible,hist_gradient_boosting,2840,1420,1420,0.983870656,0.614202336,0.708188726,0.779577465,0.816901408,0.548922181,0.538104593,0.500000000,0.500000000,0.114202336,0.208188726,false,false
