seed,case_id,split,variant_id,start_count,max_rounds_per_start,executed_rounds_total,function_evaluations_total,train_objective,learned_center_shift,learned_source_width,raw_closure_coeff,calibrated_closure_coeff
171,P169-CASE-055,test,uniform_grid_latent_trainable_control,1,48,20,161,0.0004592302,0.026075089,0.0540654908,0.1331167375,0.1118349146
171,P169-CASE-056,train,tiny_explicit_latent_hidden_closure_smoke,3,48,61,491,0.0006289035,0.0259919925,0.0741461362,-0.1063885598,-0.0936746588
171,P169-CASE-056,train,uniform_grid_latent_trainable_control,1,48,22,177,0.0006289035,0.0259919925,0.0741461362,-0.1063885598,-0.1016455086
171,P169-CASE-057,test,tiny_explicit_latent_hidden_closure_smoke,3,48,64,515,0.0005886398,0.0260282237,0.0743045259,-0.0416963649,-0.0294661591
171,P169-CASE-057,test,uniform_grid_latent_trainable_control,1,48,25,201,0.0005886398,0.0260282237,0.0743045259,-0.0416963649,-0.0433922953
171,P169-CASE-058,train,tiny_explicit_latent_hidden_closure_smoke,3,48,60,483,0.0004925308,0.0259988315,0.0739773329,0.0170341081,0.0188409671
171,P169-CASE-058,train,uniform_grid_latent_trainable_control,1,48,24,193,0.0004925308,0.0259988315,0.0739773329,0.0170341081,0.0094407048
171,P169-CASE-059,train,tiny_explicit_latent_hidden_closure_smoke,3,48,64,515,0.0007639992,0.0259402204,0.0741376961,0.1044165796,0.099662997
171,P169-CASE-059,train,uniform_grid_latent_trainable_control,1,48,24,193,0.0007639999,0.0259440478,0.0741438625,0.1042199661,0.0879402874
171,P169-CASE-060,train,tiny_explicit_latent_hidden_closure_smoke,3,48,68,547,0.0007178601,0.0261010822,0.0962305637,-0.1288625688,-0.1155442447
171,P169-CASE-060,train,uniform_grid_latent_trainable_control,1,48,27,217,0.0007178602,0.0261010662,0.0962311762,-0.1288734694,-0.1195480661
171,P169-CASE-061,train,tiny_explicit_latent_hidden_closure_smoke,3,48,67,539,0.0006313924,0.0261744404,0.0961391437,-0.0136415744,-0.0396319472
171,P169-CASE-061,train,uniform_grid_latent_trainable_control,1,48,27,217,0.0006313924,0.0261744404,0.0961391437,-0.0136415744,-0.0158247532
171,P169-CASE-062,val,tiny_explicit_latent_hidden_closure_smoke,3,48,63,507,0.000644156,0.0261798797,0.0963107853,0.0187677151,-0.007978595
171,P169-CASE-062,val,uniform_grid_latent_trainable_control,1,48,26,209,0.000644156,0.0261798797,0.0963107853,0.0187677151,0.0133680845
171,P169-CASE-063,train,tiny_explicit_latent_hidden_closure_smoke,3,48,65,523,0.0009086609,0.025990516,0.0959059654,0.130018334,0.1187740184
171,P169-CASE-063,train,uniform_grid_latent_trainable_control,1,48,27,217,0.0009086609,0.025990516,0.0959059654,0.130018334,0.1134656053
171,P169-CASE-064,train,tiny_explicit_latent_hidden_closure_smoke,2,48,48,386,0.0005756378,0.0520667402,0.0360735037,-0.1156300859,-0.1143684615
171,P169-CASE-064,train,uniform_grid_latent_trainable_control,1,48,28,225,0.0005756441,0.0520683324,0.0360722071,-0.1155846187,-0.1130723732
171,P169-CASE-065,train,tiny_explicit_latent_hidden_closure_smoke,2,48,47,378,0.0005873173,0.0518618313,0.0360021101,-0.0383924298,-0.0437702755
171,P169-CASE-065,train,uniform_grid_latent_trainable_control,1,48,29,233,0.0005873208,0.0518611628,0.0360043544,-0.0384525471,-0.0436529999
171,P169-CASE-066,val,tiny_explicit_latent_hidden_closure_smoke,2,48,48,386,0.000746357,0.0520062519,0.0361446348,0.0258501085,0.0154261968
171,P169-CASE-066,val,uniform_grid_latent_trainable_control,1,48,28,225,0.0007463673,0.0520093639,0.0361522349,0.025695194,0.0141127517
171,P169-CASE-067,train,tiny_explicit_latent_hidden_closure_smoke,2,48,49,394,0.0004848528,0.052088645,0.0359981687,0.1019291196,0.0840283853
171,P169-CASE-067,train,uniform_grid_latent_trainable_control,1,48,29,233,0.0004848528,0.052088645,0.0359981687,0.1019291196,0.0827241316
171,P169-CASE-068,val,tiny_explicit_latent_hidden_closure_smoke,3,48,68,547,0.0004907085,0.0521334847,0.054062904,-0.0767104143,-0.077696622
171,P169-CASE-068,val,uniform_grid_latent_trainable_control,1,48,26,209,0.0004907086,0.0521286965,0.0540546498,-0.0765258123,-0.0760092002
171,P169-CASE-069,train,tiny_explicit_latent_hidden_closure_smoke,3,48,64,515,0.000507504,0.0520118474,0.0537153457,-0.0362904476,-0.0322420229
171,P169-CASE-069,train,uniform_grid_latent_trainable_control,1,48,26,209,0.0005075126,0.052009484,0.0537044875,-0.0360583568,-0.0396218271
171,P169-CASE-070,test,tiny_explicit_latent_hidden_closure_smoke,3,48,66,531,0.0007219743,0.0519120717,0.0538443646,0.034191388,0.0477948057
171,P169-CASE-070,test,uniform_grid_latent_trainable_control,1,48,29,233,0.0007219768,0.0519091075,0.0538473183,0.034141511,0.0235831041
171,P169-CASE-071,train,tiny_explicit_latent_hidden_closure_smoke,3,48,67,539,0.0004786505,0.0521689317,0.0539848622,0.1214740361,0.1032294651
171,P169-CASE-071,train,uniform_grid_latent_trainable_control,1,48,27,217,0.0004786545,0.0521725655,0.0539844258,0.1214690941,0.1022178456
171,P169-CASE-072,test,tiny_explicit_latent_hidden_closure_smoke,3,48,66,531,0.0006725267,0.0521555529,0.0741904864,-0.1192084175,-0.107818342
171,P169-CASE-072,test,uniform_grid_latent_trainable_control,1,48,26,209,0.0006725267,0.0521555529,0.0741904864,-0.1192084175,-0.1123023164
171,P169-CASE-073,train,tiny_explicit_latent_hidden_closure_smoke,3,48,69,555,0.0006753831,0.0519978887,0.0742059419,-0.0424736249,-0.0379226979
171,P169-CASE-073,train,uniform_grid_latent_trainable_control,1,48,28,225,0.0006753831,0.0519978887,0.0742059419,-0.0424736249,-0.043230101
171,P169-CASE-074,train,tiny_explicit_latent_hidden_closure_smoke,3,48,63,507,0.0005746608,0.0521102623,0.0739052504,0.0475955802,0.0435113198
