target,feature_profile,method,baseline,split,n_points,rmse,mae,relative_l2,normalized_rmse,hot_q90_rmse,gradient_q90_rmse
target_grid_mean_range,gcode_all,knn,model:knn:fit=train,train,76,3.405748,2.805529,0.056342,0.126479,4.929183,3.405748
target_grid_mean_range,gcode_all,knn,model:knn:fit=train,val,26,5.577390,4.573649,0.094241,0.488674,3.460638,5.577390
target_grid_mean_range,gcode_all,extra_trees,model:extra_trees:fit=train,test,26,3.799949,3.372709,0.063139,0.275509,5.016956,3.799949
target_grid_mean_range,gcode_all,extra_trees,model:extra_trees:fit=train,train,76,3.015860,2.680770,0.049892,0.112000,4.323085,3.015860
target_grid_mean_range,gcode_all,extra_trees,model:extra_trees:fit=train,val,26,5.716775,4.544873,0.096596,0.500886,2.872032,5.716775
target_grid_mean_range,gcode_all,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,26,3.634485,3.074707,0.060390,0.263512,4.465953,3.634485
target_grid_mean_range,gcode_all,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,76,3.748785,2.834165,0.062017,0.139219,7.548603,3.748785
target_grid_mean_range,gcode_all,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,26,3.886440,3.137239,0.065669,0.340518,2.028193,3.886440
target_grid_mean_range,layer_time_strategy,knn,model:knn:fit=train,test,26,5.087463,4.770557,0.084532,0.368857,5.602944,5.087463
target_grid_mean_range,layer_time_strategy,knn,model:knn:fit=train,train,76,2.505675,1.433161,0.041452,0.093053,5.890439,2.505675
target_grid_mean_range,layer_time_strategy,knn,model:knn:fit=train,val,26,4.836457,4.240722,0.081721,0.423755,4.278374,4.836457
target_grid_mean_range,layer_time_strategy,extra_trees,model:extra_trees:fit=train,test,26,11.843833,9.578244,0.196794,0.858716,1.165631,11.843833
target_grid_mean_range,layer_time_strategy,extra_trees,model:extra_trees:fit=train,train,76,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
target_grid_mean_range,layer_time_strategy,extra_trees,model:extra_trees:fit=train,val,26,11.798097,9.823974,0.199351,1.033713,12.488180,11.798097
target_grid_mean_range,layer_time_strategy,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,26,3.185727,2.392109,0.052933,0.230975,6.922612,3.185727
target_grid_mean_range,layer_time_strategy,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,76,3.139642,2.100483,0.051940,0.116597,8.051157,3.139642
target_grid_mean_range,layer_time_strategy,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,26,2.427162,1.915574,0.041012,0.212660,3.160201,2.427162
target_quadrant_contrast,mean_guard,mean,constant:mean:fit=train,test,26,2.918145,2.769051,0.143538,0.406933,3.766395,2.918145
target_quadrant_contrast,mean_guard,mean,constant:mean:fit=train,train,76,3.895692,3.122734,0.196598,0.144046,7.912823,3.895692
target_quadrant_contrast,mean_guard,mean,constant:mean:fit=train,val,26,2.947129,2.814892,0.147246,0.365291,3.517393,2.947129
target_quadrant_contrast,xypt_guard,knn,model:knn:fit=train,test,26,3.816562,3.211905,0.187730,0.532216,4.092862,3.816562
target_quadrant_contrast,xypt_guard,knn,model:knn:fit=train,train,76,3.158952,2.702697,0.159418,0.116804,5.196867,3.158952
target_quadrant_contrast,xypt_guard,knn,model:knn:fit=train,val,26,4.318805,3.471557,0.215778,0.535307,2.061139,4.318805
target_quadrant_contrast,xypt_guard,extra_trees,model:extra_trees:fit=train,test,26,3.085113,2.769051,0.151751,0.430216,3.932002,3.085113
target_quadrant_contrast,xypt_guard,extra_trees,model:extra_trees:fit=train,train,76,2.934106,2.658237,0.148071,0.108490,4.720556,2.934106
