target,profile,model,model_label,alpha,l1_ratio,split,n_rows,feature_count,rmse,mae,r2,nrmse_train_std
gap_expt_ev,ionicity_proxy,lasso,lasso;alpha=0.1,0.100000000,,train,2674,16,1.216892928,0.866776821,0.254645756,0.863339009
gap_expt_ev,ionicity_proxy,lasso,lasso;alpha=0.1,0.100000000,,val,944,16,1.139103004,0.791606633,0.298885793,0.808150031
gap_expt_ev,ionicity_proxy,lasso,lasso;alpha=0.1,0.100000000,,test,986,16,1.435466403,0.992053770,0.194647722,1.018408533
gap_expt_ev,ionicity_proxy,lasso,lasso;alpha=1,1.000000000,,train,2674,16,1.409519222,1.111659645,0.000000000,1.000000000
gap_expt_ev,ionicity_proxy,lasso,lasso;alpha=1,1.000000000,,val,944,16,1.360703707,1.076982311,-0.000437377,0.965367258
gap_expt_ev,ionicity_proxy,lasso,lasso;alpha=1,1.000000000,,test,986,16,1.611991946,1.229949836,-0.015606710,1.143646656
gap_expt_ev,ionicity_proxy,elastic_net,elastic_net;alpha=0.0001;l1_ratio=0.2,0.000100000,0.200000000,train,2674,16,1.189340431,0.845986303,0.288015794,0.843791565
gap_expt_ev,ionicity_proxy,elastic_net,elastic_net;alpha=0.0001;l1_ratio=0.2,0.000100000,0.200000000,val,944,16,1.116157972,0.755105834,0.326846507,0.791871408
gap_expt_ev,ionicity_proxy,elastic_net,elastic_net;alpha=0.0001;l1_ratio=0.2,0.000100000,0.200000000,test,986,16,1.422341923,0.976089906,0.209307083,1.009097216
gap_expt_ev,ionicity_proxy,elastic_net,elastic_net;alpha=0.0001;l1_ratio=0.5,0.000100000,0.500000000,train,2674,16,1.189340528,0.845985001,0.288015678,0.843791634
gap_expt_ev,ionicity_proxy,elastic_net,elastic_net;alpha=0.0001;l1_ratio=0.5,0.000100000,0.500000000,val,944,16,1.116153223,0.755121048,0.326852234,0.791868040
gap_expt_ev,ionicity_proxy,elastic_net,elastic_net;alpha=0.0001;l1_ratio=0.5,0.000100000,0.500000000,test,986,16,1.422333384,0.976078334,0.209316577,1.009091158
gap_expt_ev,ionicity_proxy,elastic_net,elastic_net;alpha=0.0001;l1_ratio=0.8,0.000100000,0.800000000,train,2674,16,1.189340674,0.845983753,0.288015503,0.843791738
gap_expt_ev,ionicity_proxy,elastic_net,elastic_net;alpha=0.0001;l1_ratio=0.8,0.000100000,0.800000000,val,944,16,1.116148471,0.755136348,0.326857966,0.791864668
gap_expt_ev,ionicity_proxy,elastic_net,elastic_net;alpha=0.0001;l1_ratio=0.8,0.000100000,0.800000000,test,986,16,1.422324666,0.976066499,0.209326270,1.009084972
gap_expt_ev,ionicity_proxy,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.2,0.001000000,0.200000000,train,2674,16,1.189345818,0.846001147,0.288009344,0.843795387
gap_expt_ev,ionicity_proxy,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.2,0.001000000,0.200000000,val,944,16,1.116142831,0.755366118,0.326864769,0.791860667
gap_expt_ev,ionicity_proxy,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.2,0.001000000,0.200000000,test,986,16,1.422240852,0.975937392,0.209419452,1.009025510
gap_expt_ev,ionicity_proxy,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.5,0.001000000,0.500000000,train,2674,16,1.189355507,0.845992640,0.287997744,0.843802261
gap_expt_ev,ionicity_proxy,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.5,0.001000000,0.500000000,val,944,16,1.116104990,0.755517619,0.326910412,0.791833820
gap_expt_ev,ionicity_proxy,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.5,0.001000000,0.500000000,test,986,16,1.422164701,0.975826260,0.209504110,1.008971483
gap_expt_ev,ionicity_proxy,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.8,0.001000000,0.800000000,train,2674,16,1.189370313,0.845984892,0.287980017,0.843812765
gap_expt_ev,ionicity_proxy,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.8,0.001000000,0.800000000,val,944,16,1.116072654,0.755671415,0.326949413,0.791810879
gap_expt_ev,ionicity_proxy,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.8,0.001000000,0.800000000,test,986,16,1.422093950,0.975730204,0.209582760,1.008921289
gap_expt_ev,ionicity_proxy,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.2,0.010000000,0.200000000,train,2674,16,1.189796551,0.846652946,0.287469588,0.844115165
gap_expt_ev,ionicity_proxy,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.2,0.010000000,0.200000000,val,944,16,1.116381278,0.757982423,0.326577129,0.792029836
gap_expt_ev,ionicity_proxy,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.2,0.010000000,0.200000000,test,986,16,1.421638766,0.975107004,0.210088673,1.008598353
gap_expt_ev,ionicity_proxy,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.5,0.010000000,0.500000000,train,2674,16,1.190695320,0.847383807,0.286392694,0.844752808
gap_expt_ev,ionicity_proxy,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.5,0.010000000,0.500000000,val,944,16,1.116827899,0.760044442,0.326038200,0.792346696
gap_expt_ev,ionicity_proxy,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.5,0.010000000,0.500000000,test,986,16,1.421658523,0.975030537,0.210066717,1.008612370
gap_expt_ev,ionicity_proxy,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.8,0.010000000,0.800000000,train,2674,16,1.191898460,0.849021105,0.284949835,0.845606389
gap_expt_ev,ionicity_proxy,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.8,0.010000000,0.800000000,val,944,16,1.118247493,0.763030835,0.324323773,0.793353843
gap_expt_ev,ionicity_proxy,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.8,0.010000000,0.800000000,test,986,16,1.423138131,0.976563238,0.208421597,1.009662095
gap_expt_ev,ionicity_proxy,elastic_net,elastic_net;alpha=0.1;l1_ratio=0.2,0.100000000,0.200000000,train,2674,16,1.199637155,0.856674097,0.275634412,0.851096697
gap_expt_ev,ionicity_proxy,elastic_net,elastic_net;alpha=0.1;l1_ratio=0.2,0.100000000,0.200000000,val,944,16,1.123696252,0.774451129,0.317723147,0.797219530
gap_expt_ev,ionicity_proxy,elastic_net,elastic_net;alpha=0.1;l1_ratio=0.2,0.100000000,0.200000000,test,986,16,1.425131076,0.982805270,0.206203011,1.011076013
gap_expt_ev,ionicity_proxy,elastic_net,elastic_net;alpha=0.1;l1_ratio=0.5,0.100000000,0.500000000,train,2674,16,1.208775226,0.862143395,0.264556870,0.857579809
gap_expt_ev,ionicity_proxy,elastic_net,elastic_net;alpha=0.1;l1_ratio=0.5,0.100000000,0.500000000,val,944,16,1.128880619,0.782951569,0.311413019,0.800897640
gap_expt_ev,ionicity_proxy,elastic_net,elastic_net;alpha=0.1;l1_ratio=0.5,0.100000000,0.500000000,test,986,16,1.427427075,0.987783298,0.203643212,1.012704936
gap_expt_ev,ionicity_proxy,elastic_net,elastic_net;alpha=0.1;l1_ratio=0.8,0.100000000,0.800000000,train,2674,16,1.213293226,0.864273564,0.259048913,0.860785157
gap_expt_ev,ionicity_proxy,elastic_net,elastic_net;alpha=0.1;l1_ratio=0.8,0.100000000,0.800000000,val,944,16,1.134506174,0.787010033,0.304533043,0.804888757
gap_expt_ev,ionicity_proxy,elastic_net,elastic_net;alpha=0.1;l1_ratio=0.8,0.100000000,0.800000000,test,986,16,1.431715885,0.989234616,0.198850597,1.015747683
gap_expt_ev,ionicity_proxy,elastic_net,elastic_net;alpha=1;l1_ratio=0.2,1.000000000,0.200000000,train,2674,16,1.265451510,0.939105578,0.193974074,0.897789466
gap_expt_ev,ionicity_proxy,elastic_net,elastic_net;alpha=1;l1_ratio=0.2,1.000000000,0.200000000,val,944,16,1.194706064,0.877581121,0.228768234,0.847598277
