split_id,profile,method,role,split,rmse,mae,r2,n_rows
mix_design_hash_3,full_concrete_features,hist_gradient_boosting,admissible,val,6.089,4.461,0.8586,179
mix_design_hash_3,full_concrete_features,hist_gradient_boosting,admissible,test,5.208,3.811,0.8972,239
mix_design_hash_3,age_only_control,extra_trees,shortcut_control,train,12.93,10.06,0.4215,612
mix_design_hash_3,age_only_control,extra_trees,shortcut_control,val,13.24,10.52,0.331,179
mix_design_hash_3,age_only_control,extra_trees,shortcut_control,test,12.49,10.38,0.4084,239
mix_design_hash_3,coarse_mix_presence_control,extra_trees,shortcut_control,train,5.752,4.235,0.8856,612
mix_design_hash_3,coarse_mix_presence_control,extra_trees,shortcut_control,val,9.763,7.682,0.6364,179
mix_design_hash_3,coarse_mix_presence_control,extra_trees,shortcut_control,test,7.84,6.142,0.7669,239
mix_design_hash_3,mix_design_hash_control,extra_trees,shortcut_control,train,10.18,7.745,0.6418,612
mix_design_hash_3,mix_design_hash_control,extra_trees,shortcut_control,val,12.89,10.09,0.3657,179
mix_design_hash_3,mix_design_hash_control,extra_trees,shortcut_control,test,12.95,10.58,0.3646,239
mix_design_hash_3,row_order_control,extra_trees,shortcut_control,train,9.238,7.263,0.7048,612
mix_design_hash_3,row_order_control,extra_trees,shortcut_control,val,14.45,11.19,0.2034,179
mix_design_hash_3,row_order_control,extra_trees,shortcut_control,test,14.16,11.75,0.2393,239
mix_design_hash_4,train_mean,mean,mean_baseline,train,17.44,14.19,0,627
mix_design_hash_4,train_mean,mean,mean_baseline,val,15.91,12.77,-0.0319,218
mix_design_hash_4,train_mean,mean,mean_baseline,test,15.23,12.31,-0.06111,185
mix_design_hash_4,raw_mix_age,extra_trees,admissible,train,2.394,1.475,0.9812,627
mix_design_hash_4,raw_mix_age,extra_trees,admissible,val,5.166,3.75,0.8912,218
mix_design_hash_4,raw_mix_age,extra_trees,admissible,test,4.841,3.834,0.8928,185
mix_design_hash_4,raw_mix_age,hist_gradient_boosting,admissible,train,2.577,1.694,0.9782,627
mix_design_hash_4,raw_mix_age,hist_gradient_boosting,admissible,val,5.134,3.726,0.8926,218
mix_design_hash_4,raw_mix_age,hist_gradient_boosting,admissible,test,5.028,3.888,0.8843,185
mix_design_hash_4,binder_ratio_age_core,extra_trees,admissible,train,2.508,1.542,0.9793,627
mix_design_hash_4,binder_ratio_age_core,extra_trees,admissible,val,4.914,3.46,0.9016,218
mix_design_hash_4,binder_ratio_age_core,extra_trees,admissible,test,4.63,3.485,0.9019,185
mix_design_hash_4,binder_ratio_age_core,hist_gradient_boosting,admissible,train,2.699,1.802,0.9761,627
mix_design_hash_4,binder_ratio_age_core,hist_gradient_boosting,admissible,val,4.804,3.561,0.9059,218
mix_design_hash_4,binder_ratio_age_core,hist_gradient_boosting,admissible,test,5.21,3.952,0.8758,185
mix_design_hash_4,full_concrete_features,extra_trees,admissible,train,1.899,1.065,0.9881,627
mix_design_hash_4,full_concrete_features,extra_trees,admissible,val,4.682,3.281,0.9106,218
mix_design_hash_4,full_concrete_features,extra_trees,admissible,test,4.367,3.316,0.9127,185
mix_design_hash_4,full_concrete_features,hist_gradient_boosting,admissible,train,2.213,1.383,0.9839,627
mix_design_hash_4,full_concrete_features,hist_gradient_boosting,admissible,val,4.418,3.223,0.9204,218
mix_design_hash_4,full_concrete_features,hist_gradient_boosting,admissible,test,5.64,3.967,0.8544,185
mix_design_hash_4,age_only_control,extra_trees,shortcut_control,train,13.54,10.86,0.3971,627
mix_design_hash_4,age_only_control,extra_trees,shortcut_control,val,11.82,9.346,0.4308,218
mix_design_hash_4,age_only_control,extra_trees,shortcut_control,test,11.96,9.822,0.3455,185
mix_design_hash_4,coarse_mix_presence_control,extra_trees,shortcut_control,train,6.299,4.729,0.8696,627
mix_design_hash_4,coarse_mix_presence_control,extra_trees,shortcut_control,val,7.48,5.854,0.772,218
mix_design_hash_4,coarse_mix_presence_control,extra_trees,shortcut_control,test,6.584,5.146,0.8016,185
mix_design_hash_4,mix_design_hash_control,extra_trees,shortcut_control,train,10.13,7.722,0.6629,627
mix_design_hash_4,mix_design_hash_control,extra_trees,shortcut_control,val,12.91,10.43,0.3205,218
mix_design_hash_4,mix_design_hash_control,extra_trees,shortcut_control,test,13.28,11.1,0.1936,185
mix_design_hash_4,row_order_control,extra_trees,shortcut_control,train,9.946,7.911,0.6747,627
mix_design_hash_4,row_order_control,extra_trees,shortcut_control,val,12.66,10.19,0.3465,218
mix_design_hash_4,row_order_control,extra_trees,shortcut_control,test,12.29,9.835,0.3085,185
age_bucket_holdout,train_mean,mean,mean_baseline,train,17.87,15.13,0,393
age_bucket_holdout,train_mean,mean,mean_baseline,val,19.42,15.14,-0.6205,212
age_bucket_holdout,train_mean,mean,mean_baseline,test,15.8,11.86,-0.1556,425
age_bucket_holdout,raw_mix_age,extra_trees,admissible,train,2.466,1.506,0.981,393
age_bucket_holdout,raw_mix_age,extra_trees,admissible,val,6.799,5.226,0.8014,212
age_bucket_holdout,raw_mix_age,extra_trees,admissible,test,10.96,8.564,0.4432,425
age_bucket_holdout,raw_mix_age,hist_gradient_boosting,admissible,train,2.846,1.842,0.9746,393
age_bucket_holdout,raw_mix_age,hist_gradient_boosting,admissible,val,7.005,5.588,0.7892,212
age_bucket_holdout,raw_mix_age,hist_gradient_boosting,admissible,test,14.74,12.73,-0.006073,425
age_bucket_holdout,binder_ratio_age_core,extra_trees,admissible,train,2.61,1.602,0.9787,393
age_bucket_holdout,binder_ratio_age_core,extra_trees,admissible,val,5.29,4.076,0.8798,212
age_bucket_holdout,binder_ratio_age_core,extra_trees,admissible,test,8.734,6.604,0.6467,425
age_bucket_holdout,binder_ratio_age_core,hist_gradient_boosting,admissible,train,2.892,1.874,0.9738,393
age_bucket_holdout,binder_ratio_age_core,hist_gradient_boosting,admissible,val,6.753,5.445,0.8041,212
age_bucket_holdout,binder_ratio_age_core,hist_gradient_boosting,admissible,test,14.46,12.28,0.03096,425
age_bucket_holdout,full_concrete_features,extra_trees,admissible,train,2.2,1.204,0.9849,393
age_bucket_holdout,full_concrete_features,extra_trees,admissible,val,6.015,4.771,0.8446,212
age_bucket_holdout,full_concrete_features,extra_trees,admissible,test,8.995,6.914,0.6253,425
age_bucket_holdout,full_concrete_features,hist_gradient_boosting,admissible,train,2.491,1.486,0.9806,393
age_bucket_holdout,full_concrete_features,hist_gradient_boosting,admissible,val,6.956,5.569,0.7922,212
age_bucket_holdout,full_concrete_features,hist_gradient_boosting,admissible,test,15.54,13.49,-0.1181,425
age_bucket_holdout,age_only_control,extra_trees,shortcut_control,train,11.22,9.173,0.6057,393
age_bucket_holdout,age_only_control,extra_trees,shortcut_control,val,16.07,11.86,-0.1093,212
age_bucket_holdout,age_only_control,extra_trees,shortcut_control,test,15.58,11.7,-0.124,425
age_bucket_holdout,coarse_mix_presence_control,extra_trees,shortcut_control,train,5.229,3.929,0.9144,393
age_bucket_holdout,coarse_mix_presence_control,extra_trees,shortcut_control,val,8.99,7.193,0.6529,212
age_bucket_holdout,coarse_mix_presence_control,extra_trees,shortcut_control,test,11.78,9.403,0.3577,425
age_bucket_holdout,mix_design_hash_control,extra_trees,shortcut_control,train,8.857,6.966,0.7544,393
age_bucket_holdout,mix_design_hash_control,extra_trees,shortcut_control,val,14.99,11.32,0.03497,212
age_bucket_holdout,mix_design_hash_control,extra_trees,shortcut_control,test,16.04,12.01,-0.1922,425
age_bucket_holdout,row_order_control,extra_trees,shortcut_control,train,11.05,9.093,0.6176,393
age_bucket_holdout,row_order_control,extra_trees,shortcut_control,val,14.23,11.35,0.1305,212
age_bucket_holdout,row_order_control,extra_trees,shortcut_control,test,15.56,11.98,-0.1215,425
