target,profile,model,model_label,alpha,l1_ratio,split,n_rows,feature_count,rmse,mae,r2,nrmse_train_std
yield_strength_mpa,minor_element_linear,huber,huber;alpha=0.001,0.001000000,,train,244,9,184.227559044,126.233689732,0.460163115,0.734735929
yield_strength_mpa,minor_element_linear,huber,huber;alpha=0.001,0.001000000,,val,32,9,451.703364013,358.457268015,0.118959758,1.801482321
yield_strength_mpa,minor_element_linear,huber,huber;alpha=0.001,0.001000000,,test,36,9,325.119187167,269.400178188,0.222591174,1.296639597
yield_strength_mpa,minor_element_linear,huber,huber;alpha=0.1,0.100000000,,train,244,9,184.623258174,127.790732318,0.457841613,0.736314055
yield_strength_mpa,minor_element_linear,huber,huber;alpha=0.1,0.100000000,,val,32,9,442.560249577,351.703633584,0.154265782,1.765017773
yield_strength_mpa,minor_element_linear,huber,huber;alpha=0.1,0.100000000,,test,36,9,315.153509849,248.753348691,0.269519609,1.256894505
yield_strength_mpa,all_element_linear,ordinary_least_squares,ordinary_least_squares,,,train,244,14,151.064950728,110.311253513,0.637021597,0.602476890
yield_strength_mpa,all_element_linear,ordinary_least_squares,ordinary_least_squares,,,val,32,14,449.996928519,379.804879308,0.125603935,1.794676718
yield_strength_mpa,all_element_linear,ordinary_least_squares,ordinary_least_squares,,,test,36,14,351.928738332,271.464638633,0.089093647,1.403561387
yield_strength_mpa,all_element_linear,ridge,ridge;alpha=1e-06,0.000001000,,train,244,14,151.882969914,109.897737054,0.633079886,0.605739312
yield_strength_mpa,all_element_linear,ridge,ridge;alpha=1e-06,0.000001000,,val,32,14,447.620467058,377.094121343,0.134815027,1.785198920
yield_strength_mpa,all_element_linear,ridge,ridge;alpha=1e-06,0.000001000,,test,36,14,353.524485561,276.150617102,0.080814290,1.409925543
yield_strength_mpa,all_element_linear,ridge,ridge;alpha=0.0001,0.000100000,,train,244,14,151.882969947,109.897748574,0.633079885,0.605739312
yield_strength_mpa,all_element_linear,ridge,ridge;alpha=0.0001,0.000100000,,val,32,14,447.620423708,377.094076372,0.134815195,1.785198747
yield_strength_mpa,all_element_linear,ridge,ridge;alpha=0.0001,0.000100000,,test,36,14,353.524312976,276.150343807,0.080815188,1.409924854
yield_strength_mpa,all_element_linear,ridge,ridge;alpha=0.01,0.010000000,,train,244,14,151.882971590,109.898899828,0.633079877,0.605739319
yield_strength_mpa,all_element_linear,ridge,ridge;alpha=0.01,0.010000000,,val,32,14,447.616095645,377.089585800,0.134831926,1.785181486
yield_strength_mpa,all_element_linear,ridge,ridge;alpha=0.01,0.010000000,,test,36,14,353.507056909,276.123011231,0.080904919,1.409856034
yield_strength_mpa,all_element_linear,ridge,ridge;alpha=1,1.000000000,,train,244,14,151.898374103,110.018056494,0.633005455,0.605800747
yield_strength_mpa,all_element_linear,ridge,ridge;alpha=1,1.000000000,,val,32,14,447.209084174,376.650090085,0.136404583,1.783558244
yield_strength_mpa,all_element_linear,ridge,ridge;alpha=1,1.000000000,,test,36,14,351.842413127,273.452684131,0.089540468,1.403217105
yield_strength_mpa,all_element_linear,ridge,ridge;alpha=10,10.000000000,,train,244,14,152.866331867,111.514110527,0.628313277,0.609661154
yield_strength_mpa,all_element_linear,ridge,ridge;alpha=10,10.000000000,,val,32,14,444.921724969,374.508398730,0.145216126,1.774435803
yield_strength_mpa,all_element_linear,ridge,ridge;alpha=10,10.000000000,,test,36,14,340.562728443,254.984232005,0.146981404,1.358231493
yield_strength_mpa,all_element_linear,ridge,ridge;alpha=100,100.000000000,,train,244,14,170.660651249,128.503702974,0.536744957,0.680628418
yield_strength_mpa,all_element_linear,ridge,ridge;alpha=100,100.000000000,,val,32,14,441.846661475,366.557780613,0.156990922,1.762171842
yield_strength_mpa,all_element_linear,ridge,ridge;alpha=100,100.000000000,,test,36,14,309.778491820,207.711273780,0.294224159,1.235457871
yield_strength_mpa,all_element_linear,lasso,lasso;alpha=1e-05,0.000010000,,train,244,14,151.882969896,109.897737333,0.633079886,0.605739312
yield_strength_mpa,all_element_linear,lasso,lasso;alpha=1e-05,0.000010000,,val,32,14,447.620470507,377.094120942,0.134815014,1.785198934
yield_strength_mpa,all_element_linear,lasso,lasso;alpha=1e-05,0.000010000,,test,36,14,353.524404499,276.150500937,0.080814712,1.409925219
yield_strength_mpa,all_element_linear,lasso,lasso;alpha=0.0001,0.000100000,,train,244,14,151.882969901,109.897740843,0.633079886,0.605739312
yield_strength_mpa,all_element_linear,lasso,lasso;alpha=0.0001,0.000100000,,val,32,14,447.620497798,377.094113208,0.134814908,1.785199043
yield_strength_mpa,all_element_linear,lasso,lasso;alpha=0.0001,0.000100000,,test,36,14,353.523659641,276.149430827,0.080818585,1.409922249
yield_strength_mpa,all_element_linear,lasso,lasso;alpha=0.001,0.001000000,,train,244,14,151.882970013,109.897924274,0.633079885,0.605739313
yield_strength_mpa,all_element_linear,lasso,lasso;alpha=0.001,0.001000000,,val,32,14,447.620554450,377.093559885,0.134814689,1.785199269
yield_strength_mpa,all_element_linear,lasso,lasso;alpha=0.001,0.001000000,,test,36,14,353.516703037,276.140452220,0.080854760,1.409894504
yield_strength_mpa,all_element_linear,lasso,lasso;alpha=0.01,0.010000000,,train,244,14,151.882979836,109.899611214,0.633079838,0.605739352
yield_strength_mpa,all_element_linear,lasso,lasso;alpha=0.01,0.010000000,,val,32,14,447.621334523,377.088497475,0.134811674,1.785202380
yield_strength_mpa,all_element_linear,lasso,lasso;alpha=0.01,0.010000000,,test,36,14,353.446674612,276.048965901,0.081218873,1.409615217
yield_strength_mpa,all_element_linear,lasso,lasso;alpha=0.1,0.100000000,,train,244,14,151.883960904,109.916515796,0.633075097,0.605743265
yield_strength_mpa,all_element_linear,lasso,lasso;alpha=0.1,0.100000000,,val,32,14,447.629202712,377.037662432,0.134781257,1.785233760
yield_strength_mpa,all_element_linear,lasso,lasso;alpha=0.1,0.100000000,,test,36,14,352.749024007,275.134999421,0.084842365,1.406832849
yield_strength_mpa,all_element_linear,lasso,lasso;alpha=1,1.000000000,,train,244,14,151.974953288,110.115844846,0.632635323,0.606106160
yield_strength_mpa,all_element_linear,lasso,lasso;alpha=1,1.000000000,,val,32,14,447.330220093,376.262133406,0.135936673,1.784041358
yield_strength_mpa,all_element_linear,lasso,lasso;alpha=1,1.000000000,,test,36,14,346.331603049,267.119334357,0.117837663,1.381238905
yield_strength_mpa,all_element_linear,lasso,lasso;alpha=10,10.000000000,,train,244,14,157.470205287,116.115949335,0.605587976,0.628022312
yield_strength_mpa,all_element_linear,lasso,lasso;alpha=10,10.000000000,,val,32,14,436.284330928,366.190097919,0.178082312,1.739988168
yield_strength_mpa,all_element_linear,lasso,lasso;alpha=10,10.000000000,,test,36,14,310.080513035,221.992257793,0.292847284,1.236662391
yield_strength_mpa,all_element_linear,elastic_net,elastic_net;alpha=0.0001;l1_ratio=0.2,0.000100000,0.200000000,train,244,14,151.882976222,109.900002916,0.633079855,0.605739337
yield_strength_mpa,all_element_linear,elastic_net,elastic_net;alpha=0.0001;l1_ratio=0.2,0.000100000,0.200000000,val,32,14,447.611942567,377.085252025,0.134847980,1.785164923
yield_strength_mpa,all_element_linear,elastic_net,elastic_net;alpha=0.0001;l1_ratio=0.2,0.000100000,0.200000000,test,36,14,353.490386228,276.096574206,0.080991603,1.409789548
yield_strength_mpa,all_element_linear,elastic_net,elastic_net;alpha=0.0001;l1_ratio=0.5,0.000100000,0.500000000,train,244,14,151.882972418,109.899150829,0.633079873,0.605739322
yield_strength_mpa,all_element_linear,elastic_net,elastic_net;alpha=0.0001;l1_ratio=0.5,0.000100000,0.500000000,val,32,14,447.615118649,377.088530049,0.134835703,1.785177590
yield_strength_mpa,all_element_linear,elastic_net,elastic_net;alpha=0.0001;l1_ratio=0.5,0.000100000,0.500000000,test,36,14,353.502989193,276.116539597,0.080926071,1.409839811
yield_strength_mpa,all_element_linear,elastic_net,elastic_net;alpha=0.0001;l1_ratio=0.8,0.000100000,0.800000000,train,244,14,151.882970337,109.898292364,0.633079883,0.605739314
yield_strength_mpa,all_element_linear,elastic_net,elastic_net;alpha=0.0001;l1_ratio=0.8,0.000100000,0.800000000,val,32,14,447.618481222,377.091941186,0.134822704,1.785191000
yield_strength_mpa,all_element_linear,elastic_net,elastic_net;alpha=0.0001;l1_ratio=0.8,0.000100000,0.800000000,test,36,14,353.515433564,276.136265582,0.080861361,1.409889441
yield_strength_mpa,all_element_linear,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.2,0.001000000,0.200000000,train,244,14,151.883590448,109.920488398,0.633076887,0.605741787
yield_strength_mpa,all_element_linear,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.2,0.001000000,0.200000000,val,32,14,447.535624951,377.005461682,0.135142971,1.784860553
yield_strength_mpa,all_element_linear,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.2,0.001000000,0.200000000,test,36,14,353.185405195,275.612723097,0.082576705,1.408573223
yield_strength_mpa,all_element_linear,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.5,0.001000000,0.500000000,train,244,14,151.883216114,109.912083260,0.633078696,0.605740294
yield_strength_mpa,all_element_linear,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.5,0.001000000,0.500000000,val,32,14,447.566266652,377.037717109,0.135024538,1.784982758
yield_strength_mpa,all_element_linear,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.5,0.001000000,0.500000000,test,36,14,353.309836261,275.811341482,0.081930155,1.409069479
yield_strength_mpa,all_element_linear,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.8,0.001000000,0.800000000,train,244,14,151.883011233,109.903674085,0.633079686,0.605739477
yield_strength_mpa,all_element_linear,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.8,0.001000000,0.800000000,val,32,14,447.597195261,377.070078130,0.134904987,1.785106108
