target,selected_low_capacity,profile,model,model_label,alpha,l1_ratio,feature,coefficient_standardized,coefficient_raw_scale,abs_coefficient_standardized,coefficient_rank,intercept_raw_scale
yield_strength_mpa,false,minor_element_linear,lasso,lasso;alpha=0.1,0.100000000,,frac_V,12.343585689,3473.199837100,12.343585689,6,1094.201513528
yield_strength_mpa,false,minor_element_linear,lasso,lasso;alpha=0.1,0.100000000,,frac_N,-1.886635429,-2303.622251078,1.886635429,9,1094.201513528
yield_strength_mpa,false,minor_element_linear,lasso,lasso;alpha=0.1,0.100000000,,frac_Nb,-23.054178322,-43809.468107578,23.054178322,4,1094.201513528
yield_strength_mpa,false,minor_element_linear,lasso,lasso;alpha=0.1,0.100000000,,frac_W,-12.956475887,-4025.347934893,12.956475887,5,1094.201513528
yield_strength_mpa,false,minor_element_linear,lasso,lasso;alpha=0.1,0.100000000,,frac_Al,95.339023762,18640.400486800,95.339023762,3,1094.201513528
yield_strength_mpa,false,minor_element_linear,lasso,lasso;alpha=0.1,0.100000000,,frac_Ti,150.317303285,25871.080258483,150.317303285,2,1094.201513528
yield_strength_mpa,false,minor_element_linear,lasso,lasso;alpha=1,1.000000000,,frac_C,177.288143776,33351.927803340,177.288143776,1,1099.898313667
yield_strength_mpa,false,minor_element_linear,lasso,lasso;alpha=1,1.000000000,,frac_Mn,-7.873049879,-3262.615833655,7.873049879,8,1099.898313667
yield_strength_mpa,false,minor_element_linear,lasso,lasso;alpha=1,1.000000000,,frac_Si,9.914284731,793.893865917,9.914284731,7,1099.898313667
yield_strength_mpa,false,minor_element_linear,lasso,lasso;alpha=1,1.000000000,,frac_V,11.757570708,3308.308760244,11.757570708,6,1099.898313667
yield_strength_mpa,false,minor_element_linear,lasso,lasso;alpha=1,1.000000000,,frac_N,-1.548687902,-1890.981085057,1.548687902,9,1099.898313667
yield_strength_mpa,false,minor_element_linear,lasso,lasso;alpha=1,1.000000000,,frac_Nb,-21.501292660,-40858.545548204,21.501292660,4,1099.898313667
yield_strength_mpa,false,minor_element_linear,lasso,lasso;alpha=1,1.000000000,,frac_W,-11.900637334,-3697.317568110,11.900637334,5,1099.898313667
yield_strength_mpa,false,minor_element_linear,lasso,lasso;alpha=1,1.000000000,,frac_Al,92.970339759,18177.282482394,92.970339759,3,1099.898313667
yield_strength_mpa,false,minor_element_linear,lasso,lasso;alpha=1,1.000000000,,frac_Ti,148.423902835,25545.207495174,148.423902835,2,1099.898313667
yield_strength_mpa,false,minor_element_linear,lasso,lasso;alpha=10,10.000000000,,frac_C,147.839554033,27811.979005384,147.839554033,1,1149.499366478
yield_strength_mpa,false,minor_element_linear,lasso,lasso;alpha=10,10.000000000,,frac_Mn,-6.330643072,-2623.437758208,6.330643072,6,1149.499366478
yield_strength_mpa,false,minor_element_linear,lasso,lasso;alpha=10,10.000000000,,frac_Si,0.000000000,0.000000000,0.000000000,8,1149.499366478
yield_strength_mpa,false,minor_element_linear,lasso,lasso;alpha=10,10.000000000,,frac_V,7.199810442,2025.860320035,7.199810442,4,1149.499366478
yield_strength_mpa,false,minor_element_linear,lasso,lasso;alpha=10,10.000000000,,frac_N,-0.000000000,-0.000000000,0.000000000,9,1149.499366478
yield_strength_mpa,false,minor_element_linear,lasso,lasso;alpha=10,10.000000000,,frac_Nb,-6.472599198,-12299.771614250,6.472599198,5,1149.499366478
yield_strength_mpa,false,minor_element_linear,lasso,lasso;alpha=10,10.000000000,,frac_W,-1.240686006,-385.459201857,1.240686006,7,1149.499366478
yield_strength_mpa,false,minor_element_linear,lasso,lasso;alpha=10,10.000000000,,frac_Al,71.309458158,13942.211762980,71.309458158,3,1149.499366478
yield_strength_mpa,false,minor_element_linear,lasso,lasso;alpha=10,10.000000000,,frac_Ti,130.972967576,22541.730604615,130.972967576,2,1149.499366478
yield_strength_mpa,false,minor_element_linear,elastic_net,elastic_net;alpha=0.0001;l1_ratio=0.2,0.000100000,0.200000000,frac_C,180.688108833,33991.538477334,180.688108833,1,1093.650113712
yield_strength_mpa,false,minor_element_linear,elastic_net,elastic_net;alpha=0.0001;l1_ratio=0.2,0.000100000,0.200000000,frac_Mn,-7.949737460,-3294.395400673,7.949737460,8,1093.650113712
yield_strength_mpa,false,minor_element_linear,elastic_net,elastic_net;alpha=0.0001;l1_ratio=0.2,0.000100000,0.200000000,frac_Si,11.914446573,954.058341712,11.914446573,7,1093.650113712
