target,feature_profile,method,baseline,split,n_points,rmse,mae,relative_l2,normalized_rmse,hot_q90_rmse,gradient_q90_rmse
target_mp_max_mean,source_all_no_layer,extra_trees,model:extra_trees:fit=train,train,39,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
target_mp_max_mean,source_all_no_layer,extra_trees,model:extra_trees:fit=train,val,12,25.758577,20.203333,0.124610,0.306245,21.009300,25.758577
target_mp_max_mean,source_all_no_layer,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,12,18.348908,17.042023,0.083612,0.336334,16.250712,18.348908
target_mp_max_mean,source_all_no_layer,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,39,24.345731,20.555044,0.114340,0.309480,16.250712,24.345731
target_mp_max_mean,source_all_no_layer,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,12,29.418688,23.037037,0.142316,0.349760,16.250712,29.418688
target_mp_max_range,mean_guard,mean,constant:mean:fit=train,test,12,0.536627,0.358974,0.002187,0.536627,0.923077,0.536627
target_mp_max_range,mean_guard,mean,constant:mean:fit=train,train,39,0.266469,0.142012,0.001087,0.266469,0.266469,0.266469
target_mp_max_range,mean_guard,mean,constant:mean:fit=train,val,12,0.383331,0.217949,0.001564,0.383331,0.923077,0.383331
target_mp_max_range,layer_time_only,knn,model:knn:fit=train,test,12,0.552771,0.361111,0.002253,0.552771,0.927961,0.552771
target_mp_max_range,layer_time_only,knn,model:knn:fit=train,train,39,0.226455,0.102564,0.000924,0.226455,0.226455,0.226455
target_mp_max_range,layer_time_only,knn,model:knn:fit=train,val,12,0.440959,0.250000,0.001799,0.440959,1.000000,0.440959
target_mp_max_range,layer_time_only,extra_trees,model:extra_trees:fit=train,test,12,0.525801,0.313333,0.002143,0.525801,0.875728,0.525801
target_mp_max_range,layer_time_only,extra_trees,model:extra_trees:fit=train,train,39,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
target_mp_max_range,layer_time_only,extra_trees,model:extra_trees:fit=train,val,12,0.422887,0.211667,0.001725,0.422887,1.000000,0.422887
target_mp_max_range,layer_time_only,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,12,0.536627,0.358974,0.002187,0.536627,0.923077,0.536627
target_mp_max_range,layer_time_only,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,39,0.266469,0.142012,0.001087,0.266469,0.266469,0.266469
target_mp_max_range,layer_time_only,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,12,0.383331,0.217949,0.001564,0.383331,0.923077,0.383331
target_mp_max_range,source_geometry,knn,model:knn:fit=train,test,12,0.552771,0.361111,0.002253,0.552771,0.927961,0.552771
target_mp_max_range,source_geometry,knn,model:knn:fit=train,train,39,0.213504,0.085470,0.000871,0.213504,0.213504,0.213504
target_mp_max_range,source_geometry,knn,model:knn:fit=train,val,12,0.288675,0.138889,0.001177,0.288675,0.666667,0.288675
target_mp_max_range,source_geometry,extra_trees,model:extra_trees:fit=train,test,12,0.579799,0.378333,0.002363,0.579799,0.962497,0.579799
target_mp_max_range,source_geometry,extra_trees,model:extra_trees:fit=train,train,39,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
target_mp_max_range,source_geometry,extra_trees,model:extra_trees:fit=train,val,12,0.434434,0.250000,0.001772,0.434434,0.970052,0.434434
