target,target_label,profile,profile_role,method,split,n_rows,rmse,mae,r2,nrmse_train_std
ultimate_tensile_strength_mpa,ultimate tensile strength in MPa,composition_descriptors,admissible,hist_gradient_boosting,test,105,617.771182100,455.084713672,0.343994933,0.883073742
ultimate_tensile_strength_mpa,ultimate tensile strength in MPa,common_element_fractions,admissible,knn,train,342,469.340896382,334.378801170,0.549893330,0.670899896
ultimate_tensile_strength_mpa,ultimate tensile strength in MPa,common_element_fractions,admissible,knn,val,92,689.718368249,505.912327899,0.142436844,0.985918732
ultimate_tensile_strength_mpa,ultimate tensile strength in MPa,common_element_fractions,admissible,knn,test,105,568.972200264,450.974920635,0.443539940,0.813317980
ultimate_tensile_strength_mpa,ultimate tensile strength in MPa,common_element_fractions,admissible,extra_trees,train,342,280.584158554,168.620315769,0.839133747,0.401081355
ultimate_tensile_strength_mpa,ultimate tensile strength in MPa,common_element_fractions,admissible,extra_trees,val,92,658.290340231,447.317930054,0.218808527,0.940993900
ultimate_tensile_strength_mpa,ultimate tensile strength in MPa,common_element_fractions,admissible,extra_trees,test,105,591.387207286,435.922659231,0.398832139,0.845359138
ultimate_tensile_strength_mpa,ultimate tensile strength in MPa,common_element_fractions,admissible,hist_gradient_boosting,train,342,313.520744270,219.737257125,0.799150287,0.448162596
ultimate_tensile_strength_mpa,ultimate tensile strength in MPa,common_element_fractions,admissible,hist_gradient_boosting,val,92,755.663392028,565.409302830,-0.029388463,1.080183923
ultimate_tensile_strength_mpa,ultimate tensile strength in MPa,common_element_fractions,admissible,hist_gradient_boosting,test,105,663.576909920,489.913245041,0.243107094,0.948550793
ultimate_tensile_strength_mpa,ultimate tensile strength in MPa,composition_process_context,admissible,knn,train,342,446.456526065,319.923019006,0.592716325,0.638187806
ultimate_tensile_strength_mpa,ultimate tensile strength in MPa,composition_process_context,admissible,knn,val,92,601.203577322,448.450199275,0.348423156,0.859391160
ultimate_tensile_strength_mpa,ultimate tensile strength in MPa,composition_process_context,admissible,knn,test,105,605.317974473,436.580158730,0.370176235,0.865272490
ultimate_tensile_strength_mpa,ultimate tensile strength in MPa,composition_process_context,admissible,extra_trees,train,342,74.880745925,20.931649123,0.988542787,0.107038370
ultimate_tensile_strength_mpa,ultimate tensile strength in MPa,composition_process_context,admissible,extra_trees,val,92,331.482371809,242.259716938,0.801918733,0.473837866
ultimate_tensile_strength_mpa,ultimate tensile strength in MPa,composition_process_context,admissible,extra_trees,test,105,352.547437229,256.777771032,0.786357807,0.503949348
ultimate_tensile_strength_mpa,ultimate tensile strength in MPa,composition_process_context,admissible,hist_gradient_boosting,train,342,187.716207422,123.429112143,0.927998392,0.268331153
ultimate_tensile_strength_mpa,ultimate tensile strength in MPa,composition_process_context,admissible,hist_gradient_boosting,val,92,356.062460644,287.058357210,0.771453325,0.508973903
ultimate_tensile_strength_mpa,ultimate tensile strength in MPa,composition_process_context,admissible,hist_gradient_boosting,test,105,420.450685126,309.876828824,0.696134054,0.601013726
ultimate_tensile_strength_mpa,ultimate tensile strength in MPa,process_only_control,negative_control,knn,train,342,418.643703563,295.630850390,0.641880657,0.598430734
ultimate_tensile_strength_mpa,ultimate tensile strength in MPa,process_only_control,negative_control,knn,val,92,567.874953509,407.400000000,0.418663009,0.811749519
ultimate_tensile_strength_mpa,ultimate tensile strength in MPa,process_only_control,negative_control,knn,test,105,602.178922798,432.125674603,0.376691565,0.860785369
ultimate_tensile_strength_mpa,ultimate tensile strength in MPa,process_only_control,negative_control,extra_trees,train,342,85.824713609,28.783208577,0.984949069,0.122682238
ultimate_tensile_strength_mpa,ultimate tensile strength in MPa,process_only_control,negative_control,extra_trees,val,92,299.657584656,226.943919158,0.838127498,0.428345886
