target,method,baseline,split,n_points,rmse,mae,relative_l2,normalized_rmse,hot_q90_rmse,gradient_q90_rmse
target_cp_prev_same_camera_abs_delta,extra_trees,model:extra_trees:fit=train,test,26,2.550600,1.775330,1.129205,0.498723,1.380490,2.550600
target_cp_prev_same_camera_abs_delta,extra_trees,model:extra_trees:fit=train,train,76,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
target_cp_prev_same_camera_abs_delta,extra_trees,model:extra_trees:fit=train,val,26,3.694346,2.599851,1.144664,0.252584,6.144651,3.694346
target_cp_prev_same_camera_abs_delta,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,26,1.234070,0.855232,0.546349,0.241300,2.452971,1.234070
target_cp_prev_same_camera_abs_delta,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,76,1.537340,0.842827,0.644442,0.108849,4.082612,1.537340
target_cp_prev_same_camera_abs_delta,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,26,2.686103,1.263194,0.832268,0.183650,7.456563,2.686103
target_cp_prev_layer_mean_abs_delta,mean,constant:mean:fit=train,test,26,1.128126,0.867820,0.582162,0.305282,2.278961,1.128126
target_cp_prev_layer_mean_abs_delta,mean,constant:mean:fit=train,train,76,1.921334,1.056403,0.797939,0.126404,5.410155,1.921334
target_cp_prev_layer_mean_abs_delta,mean,constant:mean:fit=train,val,26,1.982028,1.141342,0.751314,0.226945,5.475021,1.982028
target_cp_prev_layer_mean_abs_delta,knn,model:knn:fit=train,test,26,2.383232,1.672758,1.229851,0.644926,2.641592,2.383232
target_cp_prev_layer_mean_abs_delta,knn,model:knn:fit=train,train,76,1.461282,0.775837,0.606877,0.096137,3.739932,1.461282
target_cp_prev_layer_mean_abs_delta,knn,model:knn:fit=train,val,26,3.000565,1.858566,1.137405,0.343570,5.866832,3.000565
target_cp_prev_layer_mean_abs_delta,extra_trees,model:extra_trees:fit=train,test,26,4.079884,3.108729,2.105398,1.104057,4.276501,4.079884
target_cp_prev_layer_mean_abs_delta,extra_trees,model:extra_trees:fit=train,train,76,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
target_cp_prev_layer_mean_abs_delta,extra_trees,model:extra_trees:fit=train,val,26,4.604020,3.325600,1.745215,0.527168,5.180715,4.604020
target_cp_prev_layer_mean_abs_delta,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,26,1.047335,0.829690,0.540470,0.283419,1.746918,1.047335
target_cp_prev_layer_mean_abs_delta,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,76,1.633621,0.867769,0.678451,0.107475,4.496690,1.633621
target_cp_prev_layer_mean_abs_delta,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,26,2.034932,1.060888,0.771368,0.233003,5.551447,2.034932
