seed,case_id,split,variant_id,start_count,max_rounds_per_start,executed_rounds_total,function_evaluations_total,ridge_alpha,learned_center_shift,learned_source_width,raw_closure_coeff,head_center_shift,head_source_width,head_closure_coeff
172,P169-CASE-037,train,low_capacity_explicit_latent_hidden_closure_head,3,48,56,451,1e-06,5.96277e-05,0.0538123435,-0.0317592561,0.0001089605,0.0539610186,-0.0294697552
172,P169-CASE-038,val,low_capacity_explicit_latent_hidden_closure_head,3,48,49,395,1e-06,-1.92735e-05,0.054098502,0.012009388,-2.74664e-05,0.0541147017,0.0157538021
172,P169-CASE-039,train,low_capacity_explicit_latent_hidden_closure_head,3,48,54,435,1e-06,-4.21486e-05,0.0541155588,0.1017415418,-5.38378e-05,0.054105055,0.1071047615
172,P169-CASE-040,val,low_capacity_explicit_latent_hidden_closure_head,3,48,59,475,1e-06,4.34014e-05,0.0742740441,-0.1254392643,0.0001496488,0.0745274264,-0.1237851493
172,P169-CASE-041,train,low_capacity_explicit_latent_hidden_closure_head,3,48,58,467,1e-06,0.0001551586,0.0741685298,-0.035448595,0.0001654821,0.0740928556,-0.0355990784
172,P169-CASE-042,test,low_capacity_explicit_latent_hidden_closure_head,3,48,54,435,1e-06,1.9878e-06,0.0741508249,0.0199512321,7.2241e-06,0.0740574282,0.0213249372
172,P169-CASE-043,train,low_capacity_explicit_latent_hidden_closure_head,3,48,57,459,1e-06,6.65867e-05,0.0743424726,0.0487544035,6.55035e-05,0.0743553106,0.0553256355
172,P169-CASE-044,test,low_capacity_explicit_latent_hidden_closure_head,2,48,40,322,1e-06,-0.0001468104,0.0958953701,-0.0937918718,-0.0001602215,0.0958289116,-0.0890800569
172,P169-CASE-045,train,low_capacity_explicit_latent_hidden_closure_head,2,48,42,338,1e-06,-2.0879e-06,0.0957794146,-0.0330926963,-1.63026e-05,0.0957024846,-0.0275096807
172,P169-CASE-046,train,low_capacity_explicit_latent_hidden_closure_head,2,48,43,346,1e-06,-4.31937e-05,0.0960353417,0.0339839407,-6.06429e-05,0.0959243121,0.0403426658
172,P169-CASE-047,val,low_capacity_explicit_latent_hidden_closure_head,2,48,44,354,1e-06,0.0002064397,0.096153358,0.0977638113,0.0001929703,0.0960240168,0.1041380684
172,P169-CASE-048,test,low_capacity_explicit_latent_hidden_closure_head,3,48,66,531,1e-06,0.0259442961,0.0358593272,-0.1130970929,0.0259150181,0.0359019954,-0.1200862388
172,P169-CASE-049,train,low_capacity_explicit_latent_hidden_closure_head,3,48,63,507,1e-06,0.0260909597,0.0358479583,-0.0320724809,0.0260570322,0.0358634893,-0.0379567032
172,P169-CASE-050,train,low_capacity_explicit_latent_hidden_closure_head,3,48,65,523,1e-06,0.0261642214,0.0358884325,0.0312509806,0.0262338365,0.0361050518,0.0325386634
172,P169-CASE-051,val,low_capacity_explicit_latent_hidden_closure_head,3,48,65,523,1e-06,0.0260399171,0.0358521745,0.1234412531,0.0259940593,0.0358148162,0.1205574063
172,P169-CASE-052,train,low_capacity_explicit_latent_hidden_closure_head,3,48,67,539,1e-06,0.0258753792,0.0544146829,-0.1273724247,0.02589459,0.0544871727,-0.1344318497
172,P169-CASE-053,val,low_capacity_explicit_latent_hidden_closure_head,3,48,61,491,1e-06,0.0259247804,0.0540226745,-0.0491159119,0.0259484521,0.0541085186,-0.05429459
172,P169-CASE-054,train,low_capacity_explicit_latent_hidden_closure_head,3,48,59,475,1e-06,0.0260228088,0.0539358479,0.0484066624,0.0260819849,0.0540727831,0.0438366437
172,P169-CASE-055,test,low_capacity_explicit_latent_hidden_closure_head,3,48,63,507,1e-06,0.0259300467,0.0539938376,0.0974848583,0.0259486961,0.054040246,0.0949362413
172,P169-CASE-056,train,low_capacity_explicit_latent_hidden_closure_head,3,48,59,475,1e-06,0.0259927684,0.0740031097,-0.1116673012,0.0260321571,0.0739992002,-0.1204051782
172,P169-CASE-057,test,low_capacity_explicit_latent_hidden_closure_head,3,48,60,483,1e-06,0.0259942882,0.0740018432,-0.0682523572,0.0260337354,0.0739879674,-0.0762626372
172,P169-CASE-058,train,low_capacity_explicit_latent_hidden_closure_head,3,48,57,459,1e-06,0.0258911484,0.0739171764,0.0342774743,0.0259283579,0.0738820059,0.028519397
172,P169-CASE-059,train,low_capacity_explicit_latent_hidden_closure_head,3,48,66,531,1e-06,0.0256414155,0.0738488425,0.0995684503,0.0256765206,0.073801948,0.0958187526
172,P169-CASE-060,train,low_capacity_explicit_latent_hidden_closure_head,2,48,46,370,1e-06,0.0256414155,0.0959650605,-0.1188701926,0.0256790698,0.095977877,-0.1227469217
172,P169-CASE-061,train,low_capacity_explicit_latent_hidden_closure_head,2,48,44,354,1e-06,0.0258526358,0.0960332163,-0.0229073889,0.0258887726,0.0960153567,-0.0258857646
172,P169-CASE-062,val,low_capacity_explicit_latent_hidden_closure_head,3,48,65,523,1e-06,0.0260474911,0.0958445549,0.0381660502,0.0260838123,0.0958206424,0.0360461438
172,P169-CASE-063,train,low_capacity_explicit_latent_hidden_closure_head,3,48,70,563,1e-06,0.0261317337,0.0963917221,0.1141155728,0.0261417911,0.0962501531,0.111926181
