target,profile,model,model_label,alpha,l1_ratio,feature_count,train_rmse,val_rmse,test_rmse,phase159_guard_profile,phase159_guard_method,phase159_guard_val_rmse,phase159_guard_test_rmse,val_gain_vs_phase159,relative_val_gain_vs_phase159,test_gain_vs_phase159,test_reversal_ratio_vs_phase159,clears_phase159_validation_guard,clears_phase159_test_guard,selected_low_capacity
target_compressive_strength_mpa,paste_aggregate_packing,ridge,ridge;alpha=0.01,0.01,,12,12.1306399462,13.2394299607,13.5685611225,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-7.57424067145,-1.3369792755,-8.20218310945,2.52843931036,false,false,false
target_compressive_strength_mpa,paste_aggregate_packing,ridge,ridge;alpha=1,1,,12,12.277380197,13.1646747062,13.1490061498,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-7.49948541694,-1.3237837315,-7.78262813668,2.45025715999,false,false,false
target_compressive_strength_mpa,paste_aggregate_packing,ridge,ridge;alpha=10,10,,12,12.3989447,12.8838442058,12.9419590059,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-7.21865491658,-1.27421248401,-7.57558099282,2.41167487164,false,false,false
target_compressive_strength_mpa,paste_aggregate_packing,ridge,ridge;alpha=100,100,,12,12.6358666029,12.7163128831,12.861207534,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-7.0511235939,-1.24464042311,-7.49482952092,2.39662720417,false,false,false
target_compressive_strength_mpa,paste_aggregate_packing,lasso,lasso;alpha=0.0001,0.0001,,12,12.1351205838,13.2636307334,13.5677681666,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-7.59844144415,-1.34125111382,-8.20139015356,2.52829154666,false,false,false
target_compressive_strength_mpa,paste_aggregate_packing,lasso,lasso;alpha=0.001,0.001,,12,12.1427835891,13.2349731792,13.5302766626,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-7.56978388996,-1.33619257954,-8.16389864951,2.52130517634,false,false,false
target_compressive_strength_mpa,paste_aggregate_packing,lasso,lasso;alpha=0.01,0.01,,12,12.2321972449,13.2245013849,13.2400697605,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-7.55931209567,-1.33434413393,-7.87369174739,2.46722644737,false,false,false
target_compressive_strength_mpa,paste_aggregate_packing,lasso,lasso;alpha=0.1,0.1,,12,12.4148894918,12.9219498588,12.9548055162,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-7.25676056958,-1.28093876464,-7.58842750308,2.41406876008,false,false,false
target_compressive_strength_mpa,paste_aggregate_packing,lasso,lasso;alpha=1,1,,12,12.7850644164,12.8238148088,12.9828332759,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-7.15862551959,-1.26361629844,-7.61645526286,2.41929160493,false,false,false
target_compressive_strength_mpa,paste_aggregate_packing,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.2,0.001,0.2,12,12.2453029287,13.1921185893,13.1994587871,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-7.52692930013,-1.32862803269,-7.83308077397,2.45965877821,false,false,false
target_compressive_strength_mpa,paste_aggregate_packing,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.5,0.001,0.5,12,12.2233387889,13.2028946163,13.2388748054,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-7.53770532711,-1.33053018042,-7.87249679233,2.46700377296,false,false,false
target_compressive_strength_mpa,paste_aggregate_packing,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.8,0.001,0.8,12,12.1872365328,13.2118197136,13.3273742488,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-7.5466304244,-1.33210560833,-7.96099623572,2.48349523949,false,false,false
target_compressive_strength_mpa,paste_aggregate_packing,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.2,0.01,0.2,12,12.3580239698,12.9843926069,13.0029757876,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-7.31920331766,-1.29196094676,-7.63659777456,2.42304506987,false,false,false
target_compressive_strength_mpa,paste_aggregate_packing,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.5,0.01,0.5,12,12.3378493266,13.0431528984,13.0399152207,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-7.37796360918,-1.30233311413,-7.67353720762,2.42992856428,false,false,false
target_compressive_strength_mpa,paste_aggregate_packing,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.8,0.01,0.8,12,12.3094121249,13.1267462084,13.1035146941,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-7.46155691921,-1.31708872172,-7.73713668097,2.44178003527,false,false,false
target_compressive_strength_mpa,paste_aggregate_packing,elastic_net,elastic_net;alpha=0.1;l1_ratio=0.2,0.1,0.2,12,12.5811589962,12.7043176099,12.8490572358,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-7.03912832069,-1.24252305816,-7.48267922272,2.39436305167,false,false,false
target_compressive_strength_mpa,paste_aggregate_packing,elastic_net,elastic_net;alpha=0.1;l1_ratio=0.5,0.1,0.5,12,12.5491206771,12.7109312463,12.8507021245,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-7.04574195712,-1.24369047483,-7.48432411144,2.39466956916,false,false,false
