seed,case_id,split,policy_id,family,selected_count,posterior_trace_before,posterior_trace_after,posterior_trace_contraction,parameter_error_before,parameter_error_after,parameter_error_gain,closure_abs_error_before,closure_abs_error_after,closure_abs_error_gain,duplicate_fraction,boundary_fraction,utility_score
178,P169-CASE-040,val,no_new_observation_control,control,0,1e-09,1e-09,0,0.0828545686,0.0828545686,0,0.017537969,0.017537969,0,0,0,0
178,P169-CASE-042,test,posterior_entropy_reduction_candidate,acquisition_candidate,12,5e-10,0,5e-10,0.2403360936,0.5141806804,-0.2738445868,0.0526400396,0.1130106099,-0.0603705702,0,0.25,-0.5482562696
178,P169-CASE-042,test,latent_ensemble_disagreement_candidate,acquisition_candidate,12,5e-10,0,5e-10,0.2403360936,0.9540728388,-0.7137367452,0.0526400396,0.2098372257,-0.1571971861,0,0,-1.428269409
178,P169-CASE-042,test,hybrid_uncertainty_hot_gradient_candidate,acquisition_candidate,12,5e-10,0,5e-10,0.2403360936,0.4654696654,-0.2251335717,0.0526400396,0.1022827523,-0.0496427127,0,0,-0.4507822658
178,P169-CASE-042,test,uniform_budget_control,control,12,5e-10,1.9e-09,-1.4e-09,0.2403360936,0.3570623387,-0.116726245,0.0526400396,0.0783964683,-0.0257564286,0,0.25,-0.2338009208
178,P169-CASE-042,test,random_budget_control,control,12,5e-10,0,5e-10,0.2403360936,0.0821093629,0.1582267307,0.0526400396,0.0173675107,0.0352725289,0,0.1666666667,0.3185564076
178,P169-CASE-042,test,no_new_observation_control,control,0,5e-10,5e-10,0,0.2403360936,0.2403360936,0,0.0526400396,0.0526400396,0,0,0,0
178,P169-CASE-044,test,posterior_entropy_reduction_candidate,acquisition_candidate,12,2.5196e-06,0,2.5196e-06,0.4009574049,0.5498931097,-0.1489357048,0.087946352,0.1207836072,-0.0328372552,0,0.0833333333,-0.2981957037
178,P169-CASE-044,test,latent_ensemble_disagreement_candidate,acquisition_candidate,12,2.5196e-06,0,2.5196e-06,0.4009574049,0.3701235674,0.0308338375,0.087946352,0.0811403505,0.0068060015,0,0.0833333333,0.0617704598
178,P169-CASE-044,test,hybrid_uncertainty_hot_gradient_candidate,acquisition_candidate,12,2.5196e-06,6e-10,2.519e-06,0.4009574049,0.2941438464,0.1068135585,0.087946352,0.0643503474,0.0235960046,0,0,0.2140683766
178,P169-CASE-044,test,uniform_budget_control,control,12,2.5196e-06,0.0001484351,-0.0001459154,0.4009574049,0.1130519551,0.2879054498,0.087946352,0.0239244189,0.0640219331,0,0.25,0.5788996452
178,P169-CASE-044,test,random_budget_control,control,12,2.5196e-06,4.2167e-06,-1.6971e-06,0.4009574049,0.1575496636,0.2434077413,0.087946352,0.0339816685,0.0539646835,0,0.3333333333,0.4887015875
178,P169-CASE-044,test,no_new_observation_control,control,0,2.5196e-06,2.5196e-06,0,0.4009574049,0.4009574049,0,0.087946352,0.087946352,0,0,0,0
178,P169-CASE-047,val,posterior_entropy_reduction_candidate,acquisition_candidate,12,0.0001750328,3.1744e-06,0.0001718584,0.1218923728,0.2695294711,-0.1476370983,0.0260352802,0.0589019888,-0.0328667086,0,0.0833333333,-0.2970140427
178,P169-CASE-047,val,latent_ensemble_disagreement_candidate,acquisition_candidate,12,0.0001750328,3.4e-09,0.0001750294,0.1218923728,0.349647364,-0.2277549912,0.0260352802,0.0766187234,-0.0505834433,0,0.0833333333,-0.4576622304
178,P169-CASE-047,val,hybrid_uncertainty_hot_gradient_candidate,acquisition_candidate,12,0.0001750328,3.14e-08,0.0001750014,0.1218923728,0.0816634972,0.0402288755,0.0260352802,0.0166176491,0.0094176311,0,0,0.0830537897
178,P169-CASE-047,val,uniform_budget_control,control,12,0.0001750328,1.95485e-05,0.0001554843,0.1218923728,0.0365846622,0.0853077106,0.0260352802,0.0042664935,0.0217687866,0,0.25,0.1842722892
178,P169-CASE-047,val,random_budget_control,control,12,0.0001750328,0.0001079997,6.70331e-05,0.1218923728,0.0510704942,0.0708218786,0.0260352802,0.0089941427,0.0170411374,0,0.3333333333,0.1482882976
178,P169-CASE-047,val,no_new_observation_control,control,0,0.0001750328,0.0001750328,0,0.1218923728,0.1218923728,0,0.0260352802,0.0260352802,0,0,0,0
178,P169-CASE-048,test,posterior_entropy_reduction_candidate,acquisition_candidate,12,6.3695e-06,1e-10,6.3695e-06,0.1481173935,0.1538473859,-0.0057299924,0.0235000873,0.0333814634,-0.0098813761,0,0.25,-0.0506447013
178,P169-CASE-048,test,latent_ensemble_disagreement_candidate,acquisition_candidate,12,6.3695e-06,4e-10,6.3692e-06,0.1481173935,1.057957218,-0.9098398239,0.0235000873,0.2326834282,-0.2091833409,0,0,-1.860672555
178,P169-CASE-048,test,hybrid_uncertainty_hot_gradient_candidate,acquisition_candidate,12,6.3695e-06,0,6.3695e-06,0.1481173935,0.7540882327,-0.6059708392,0.0235000873,0.1658051756,-0.1423050883,0,0,-1.252811513
178,P169-CASE-048,test,uniform_budget_control,control,12,6.3695e-06,3.3e-07,6.0395e-06,0.1481173935,0.2499026643,-0.1017852708,0.0235000873,0.0501295914,-0.026629504,0,0.25,-0.2228278669
178,P169-CASE-048,test,random_budget_control,control,12,6.3695e-06,1.1066e-06,5.2629e-06,0.1481173935,0.6441916358,-0.4960742423,0.0235000873,0.1399124738,-0.1164123865,0,0.1666666667,-1.025220927
178,P169-CASE-048,test,no_new_observation_control,control,0,6.3695e-06,6.3695e-06,0,0.1481173935,0.1481173935,0,0.0235000873,0.0235000873,0,0,0,0
178,P169-CASE-051,val,posterior_entropy_reduction_candidate,acquisition_candidate,12,0.0005451297,0,0.0005451297,0.1015366212,0.5558480389,-0.4543114177,0.0020603399,0.1221586938,-0.1200983539,0,0.1666666667,-1.000158513
178,P169-CASE-051,val,latent_ensemble_disagreement_candidate,acquisition_candidate,12,0.0005451297,3.4e-09,0.0005451263,0.1015366212,1.171072013,-1.069535392,0.0020603399,0.2575751718,-0.2555148319,0,0,-2.230911933
178,P169-CASE-051,val,hybrid_uncertainty_hot_gradient_candidate,acquisition_candidate,12,0.0005451297,0,0.0005451297,0.1015366212,0.8820905261,-0.7805539049,0.0020603399,0.1939793611,-0.1919190212,0,0,-1.652858579
178,P169-CASE-051,val,uniform_budget_control,control,12,0.0005451297,5.499e-06,0.0005396307,0.1015366212,0.3343451047,-0.2328084834,0.0020603399,0.0700096711,-0.0679493312,0,0.25,-0.5416151168
178,P169-CASE-051,val,random_budget_control,control,12,0.0005451297,7.07314e-05,0.0004743983,0.1015366212,0.3813820259,-0.2798454046,0.0020603399,0.0808158605,-0.0787555206,0,0.25,-0.6377776038
178,P169-CASE-051,val,no_new_observation_control,control,0,0.0005451297,0.0005451297,0,0.1015366212,0.1015366212,0,0.0020603399,0.0020603399,0,0,0,0
178,P169-CASE-053,val,posterior_entropy_reduction_candidate,acquisition_candidate,12,0.0055376492,0.0074831029,-0.0019454537,0.5624759503,0.6234457342,-0.0609697838,0.1232580194,0.1368798324,-0.0136218129,0,0.25,-0.1230816608
178,P169-CASE-053,val,latent_ensemble_disagreement_candidate,acquisition_candidate,12,0.0055376492,0.0042884049,0.0012492442,0.5624759503,1.371357999,-0.8088820489,0.1232580194,0.3014914137,-0.1782333943,0,0,-1.618908916
178,P169-CASE-053,val,hybrid_uncertainty_hot_gradient_candidate,acquisition_candidate,12,0.0055376492,0.0018779138,0.0036597354,0.5624759503,0.9605641714,-0.398088221,0.1232580194,0.2110356984,-0.087777679,0,0,-0.7967116974
