x,y,z,t,signal,temperature_C,frame_index,row_index,col_index,laser_power_W,scan_speed_mm_s,spot_size_um
272.0,272.0,0.0,0.004166666666666667,344.0,1168.1844270288389,125,272,272,285.0,960.0,67.0
276.0,272.0,0.0,0.004166666666666667,125.0,1082.267437985978,125,272,276,285.0,960.0,67.0
252.0,280.0,0.0,0.004166666666666667,147.0,1095.164766468028,125,280,252,285.0,960.0,67.0
256.0,280.0,0.0,0.004166666666666667,301.0,1156.076456669172,125,280,256,285.0,960.0,67.0
260.0,280.0,0.0,0.004166666666666667,2151.0,1364.5978703875871,125,280,260,285.0,960.0,67.0
264.0,280.0,0.0,0.004166666666666667,4095.0,1450.5594629649443,125,280,264,285.0,960.0,67.0
268.0,280.0,0.0,0.004166666666666667,4095.0,1450.5594629649443,125,280,268,285.0,960.0,67.0
272.0,280.0,0.0,0.004166666666666667,732.0,1241.755347218532,125,280,272,285.0,960.0,67.0
276.0,280.0,0.0,0.004166666666666667,312.0,1159.3062300400234,125,280,276,285.0,960.0,67.0
280.0,280.0,0.0,0.004166666666666667,150.0,1096.7935958471485,125,280,280,285.0,960.0,67.0
252.0,288.0,0.0,0.004166666666666667,129.0,1084.749438980484,125,288,252,285.0,960.0,67.0
256.0,288.0,0.0,0.004166666666666667,211.0,1125.0568062873285,125,288,256,285.0,960.0,67.0
260.0,288.0,0.0,0.004166666666666667,767.0,1246.6132561890656,125,288,260,285.0,960.0,67.0
264.0,288.0,0.0,0.004166666666666667,4095.0,1450.5594629649443,125,288,264,285.0,960.0,67.0
268.0,288.0,0.0,0.004166666666666667,1221.0,1297.148157602847,125,288,268,285.0,960.0,67.0
272.0,288.0,0.0,0.004166666666666667,486.0,1200.734070621237,125,288,272,285.0,960.0,67.0
276.0,288.0,0.0,0.004166666666666667,275.0,1148.0267632306009,125,288,276,285.0,960.0,67.0
280.0,288.0,0.0,0.004166666666666667,160.0,1102.0296438104958,125,288,280,285.0,960.0,67.0
260.0,296.0,0.0,0.004166666666666667,144.0,1093.5073400847941,125,296,260,285.0,960.0,67.0
264.0,296.0,0.0,0.004166666666666667,260.0,1143.0852318752368,125,296,264,285.0,960.0,67.0
268.0,296.0,0.0,0.004166666666666667,220.0,1128.6171395240606,125,296,268,285.0,960.0,67.0
272.0,296.0,0.0,0.004166666666666667,124.0,1081.6363458691983,125,296,272,285.0,960.0,67.0
264.0,248.0,0.0,0.005,150.0,1096.7935958471485,150,248,264,285.0,960.0,67.0
264.0,256.0,0.0,0.005,237.0,1135.0179249157677,150,256,264,285.0,960.0,67.0
260.0,264.0,0.0,0.005,116.0,1076.4246970775782,150,264,260,285.0,960.0,67.0
264.0,264.0,0.0,0.005,823.0,1254.0156991853014,150,264,264,285.0,960.0,67.0
268.0,264.0,0.0,0.005,156.0,1099.9696365472435,150,264,268,285.0,960.0,67.0
260.0,272.0,0.0,0.005,159.0,1101.518791086559,150,272,260,285.0,960.0,67.0
264.0,272.0,0.0,0.005,1015.0,1276.5763736363758,150,272,264,285.0,960.0,67.0
268.0,272.0,0.0,0.005,322.0,1162.160053719117,150,272,268,285.0,960.0,67.0
272.0,272.0,0.0,0.005,125.0,1082.267437985978,150,272,272,285.0,960.0,67.0
252.0,280.0,0.0,0.005,105.0,1068.7320569802655,150,280,252,285.0,960.0,67.0
256.0,280.0,0.0,0.005,134.0,1087.7611175615493,150,280,256,285.0,960.0,67.0
260.0,280.0,0.0,0.005,246.0,1138.2504851650465,150,280,260,285.0,960.0,67.0
264.0,280.0,0.0,0.005,1335.0,1307.3278216912468,150,280,264,285.0,960.0,67.0
268.0,280.0,0.0,0.005,476.0,1198.7243100420383,150,280,268,285.0,960.0,67.0
272.0,280.0,0.0,0.005,221.0,1129.0050661497055,150,280,272,285.0,960.0,67.0
276.0,280.0,0.0,0.005,148.0,1095.7108335266212,150,280,276,285.0,960.0,67.0
280.0,280.0,0.0,0.005,116.0,1076.4246970775782,150,280,280,285.0,960.0,67.0
