feature_profile,method,baseline,split,n_points,rmse,mae,relative_l2,normalized_rmse,hot_q90_rmse,gradient_q90_rmse
path_contact_graph_shuffled,extra_trees,model:extra_trees:fit=train,test,26,1.8553189850101033,1.325619243076923,0.06959829062084377,0.33035194951774305,4.374874303213799,1.8553189850101033
path_contact_graph_shuffled,extra_trees,model:extra_trees:fit=train,train,76,1.8006160946904698e-14,1.5356137414289008e-14,6.534062818341841e-16,7.959564459719528e-16,2.0524417735663547e-14,1.8006160946904698e-14
path_contact_graph_shuffled,extra_trees,model:extra_trees:fit=train,val,26,2.2223837646726032,1.1787962484615386,0.08415058933512769,0.48398756150559125,4.949168178461732,2.2223837646726032
path_contact_graph_shuffled,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,26,1.4205136430245549,1.0198097582731809,0.05328750589891587,0.2529319513685446,2.760349503460196,1.4205136430245549
path_contact_graph_shuffled,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,76,1.866789908669394,1.025415377058632,0.06774193881672076,0.08252083636607858,2.5119698931742795,1.866789908669394
path_contact_graph_shuffled,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,26,1.0673110025154144,0.8651564383093515,0.04041374459859296,0.2324374654310088,1.760617385692142,1.0673110025154144
path_contact_graph_ordered,mean,constant:mean:fit=train,test,26,1.616620459031165,1.3274908603238886,0.06064403018580666,0.28785008108366106,2.0084822122069244,1.616620459031165
path_contact_graph_ordered,mean,constant:mean:fit=train,train,76,2.475157424815192,1.2858954757617724,0.08981833577250033,0.1094135231205772,4.041212174298709,2.475157424815192
path_contact_graph_ordered,mean,constant:mean:fit=train,val,26,1.5923420619344277,1.2262419372469653,0.060294052298674246,0.3467779795232453,0.8490472156070283,1.5923420619344277
path_contact_graph_ordered,knn,model:knn:fit=train,test,26,3.0831185228587965,1.8249637948717945,0.11565654246310889,0.5489698660174716,7.057718108139385,3.0831185228587965
path_contact_graph_ordered,knn,model:knn:fit=train,train,76,1.765366613079142,1.0851414868421052,0.06406149751341297,0.07803745281003761,2.393603322106002,1.765366613079142
path_contact_graph_ordered,knn,model:knn:fit=train,val,26,2.1146414023690676,1.4284212564102567,0.08007092342488964,0.4605235837574357,3.4854800548905356,2.1146414023690676
path_contact_graph_ordered,extra_trees,model:extra_trees:fit=train,test,26,3.1093275768845565,1.9911654915384591,0.11663971860355694,0.5536365633144749,7.049094398502897,3.1093275768845565
path_contact_graph_ordered,extra_trees,model:extra_trees:fit=train,train,76,1.8006160946904698e-14,1.5356137414289008e-14,6.534062818341841e-16,7.959564459719528e-16,2.0524417735663547e-14,1.8006160946904698e-14
path_contact_graph_ordered,extra_trees,model:extra_trees:fit=train,val,26,3.8417810932165017,2.177490098461539,0.14546908964588567,0.836657598341508,5.971812541285582,3.8417810932165017
path_contact_graph_ordered,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,26,1.3581150777081423,1.0969133078396616,0.05094675828715588,0.24182146963147833,2.5343743597199664,1.3581150777081423
path_contact_graph_ordered,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,76,1.8978681561875017,1.075239390568864,0.06886970404200161,0.0838946401166111,2.383960252463531,1.8978681561875017
path_contact_graph_ordered,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,26,1.255095011610485,1.037883986599166,0.04752418847613411,0.27333279867470534,1.891753702646312,1.255095011610485
path_contact_graph_full,mean,constant:mean:fit=train,test,26,1.616620459031165,1.3274908603238886,0.06064403018580666,0.28785008108366106,2.0084822122069244,1.616620459031165
path_contact_graph_full,mean,constant:mean:fit=train,train,76,2.475157424815192,1.2858954757617724,0.08981833577250033,0.1094135231205772,4.041212174298709,2.475157424815192
path_contact_graph_full,mean,constant:mean:fit=train,val,26,1.5923420619344277,1.2262419372469653,0.060294052298674246,0.3467779795232453,0.8490472156070283,1.5923420619344277
path_contact_graph_full,knn,model:knn:fit=train,test,26,2.914903058522615,2.0879391538461545,0.10934630208483453,0.5190179779424474,4.902621721719791,2.914903058522615
path_contact_graph_full,knn,model:knn:fit=train,train,76,1.776590983212053,1.0793061052631578,0.06446880665477309,0.0785336224147418,2.5109322183528593,1.776590983212053
path_contact_graph_full,knn,model:knn:fit=train,val,26,1.8343909208864533,1.3202505897435897,0.06945923540183142,0.3994910342492637,0.7778385125415272,1.8343909208864533
path_contact_graph_full,extra_trees,model:extra_trees:fit=train,test,26,2.1764283433642637,1.4489242830769216,0.08164401570875032,0.38752761763613447,5.366630628882429,2.1764283433642637
path_contact_graph_full,extra_trees,model:extra_trees:fit=train,train,76,1.8006160946904698e-14,1.5356137414289008e-14,6.534062818341841e-16,7.959564459719528e-16,2.0524417735663547e-14,1.8006160946904698e-14
path_contact_graph_full,extra_trees,model:extra_trees:fit=train,val,26,2.6001088621444297,1.2935538738461536,0.09845315492447151,0.566247993637475,6.275452366030679,2.6001088621444297
path_contact_graph_full,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,26,1.341997214561371,1.0579762735190312,0.05034213141030113,0.23895157633786387,2.3183954134830396,1.341997214561371
path_contact_graph_full,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,76,1.9058206300700309,1.0954927442888975,0.06915828284601704,0.08424617661941632,2.3160934411501537,1.9058206300700309
path_contact_graph_full,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,26,1.2837133762778044,1.05847166991416,0.04860782321593221,0.2795652652494664,1.937559672428951,1.2837133762778044
