target,profile,method,split,n_rows,rmse,mae,r2,nrmse_train_std
Post-Test-Mass-Unrecovered-g,mean,mean,test,54,4.254806491,3.618568916,-1.317997027,0.564853370
Post-Test-Mass-Unrecovered-g,cell_pretest,knn,train,227,3.321605146,2.214481730,0.805550052,0.440964792
Post-Test-Mass-Unrecovered-g,cell_pretest,knn,val,84,6.421482640,4.520519163,-0.277021742,0.852493790
Post-Test-Mass-Unrecovered-g,cell_pretest,knn,test,54,2.288616315,1.677239120,0.329344906,0.303828774
Post-Test-Mass-Unrecovered-g,cell_pretest,extra_trees,train,227,1.374420729,0.499613926,0.966707132,0.182463335
Post-Test-Mass-Unrecovered-g,cell_pretest,extra_trees,val,84,6.236673762,4.748404729,-0.204574651,0.827959204
Post-Test-Mass-Unrecovered-g,cell_pretest,extra_trees,test,54,2.475263462,2.051922259,0.215494287,0.328607402
Post-Test-Mass-Unrecovered-g,cell_pretest,hist_gradient_boosting,train,227,2.701974005,1.773867906,0.871330932,0.358704709
Post-Test-Mass-Unrecovered-g,cell_pretest,hist_gradient_boosting,val,84,4.997435789,3.818749650,0.226568045,0.663442263
Post-Test-Mass-Unrecovered-g,cell_pretest,hist_gradient_boosting,test,54,2.156403661,1.649776999,0.404593777,0.286276680
Post-Test-Mass-Unrecovered-g,trigger_numeric,knn,train,227,3.548306754,2.558054307,0.778101617,0.471060913
Post-Test-Mass-Unrecovered-g,trigger_numeric,knn,val,84,6.354342474,5.111992543,-0.250457402,0.843580494
Post-Test-Mass-Unrecovered-g,trigger_numeric,knn,test,54,2.101147866,1.537327315,0.434716276,0.278941112
Post-Test-Mass-Unrecovered-g,trigger_numeric,extra_trees,train,227,1.216043715,0.418125585,0.973937853,0.161437751
Post-Test-Mass-Unrecovered-g,trigger_numeric,extra_trees,val,84,5.699587215,4.529263689,-0.006038203,0.756657454
Post-Test-Mass-Unrecovered-g,trigger_numeric,extra_trees,test,54,2.278667371,1.586217452,0.335163100,0.302507986
Post-Test-Mass-Unrecovered-g,trigger_numeric,hist_gradient_boosting,train,227,2.280640744,1.574845373,0.908330349,0.302769965
