target,profile,model,model_label,alpha,l1_ratio,split,n_rows,feature_count,rmse,mae,r2
target_critical_temp_K,cuprate_oxide_proxy,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.8,0.01,0.8,train,11644,16,20.684994877,14.3585886993,0.593928356493
target_critical_temp_K,cuprate_oxide_proxy,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.8,0.01,0.8,val,3661,16,20.4669070688,14.7892398137,0.662820060056
target_critical_temp_K,cuprate_oxide_proxy,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.8,0.01,0.8,test,5958,16,27.9660355531,17.8084536528,0.384511956117
target_critical_temp_K,cuprate_oxide_proxy,elastic_net,elastic_net;alpha=0.1;l1_ratio=0.2,0.1,0.2,train,11644,16,20.8234998999,14.6800676937,0.58847210555
target_critical_temp_K,cuprate_oxide_proxy,elastic_net,elastic_net;alpha=0.1;l1_ratio=0.2,0.1,0.2,val,3661,16,20.8147862934,15.22588846,0.651260447165
target_critical_temp_K,cuprate_oxide_proxy,elastic_net,elastic_net;alpha=0.1;l1_ratio=0.2,0.1,0.2,test,5958,16,25.9888703252,17.9291128423,0.468464084962
target_critical_temp_K,cuprate_oxide_proxy,elastic_net,elastic_net;alpha=0.1;l1_ratio=0.5,0.1,0.5,train,11644,16,20.7936148218,14.6064829182,0.589652475622
target_critical_temp_K,cuprate_oxide_proxy,elastic_net,elastic_net;alpha=0.1;l1_ratio=0.5,0.1,0.5,val,3661,16,20.7027357325,15.1123463704,0.65500502406
target_critical_temp_K,cuprate_oxide_proxy,elastic_net,elastic_net;alpha=0.1;l1_ratio=0.5,0.1,0.5,test,5958,16,26.0787722953,17.8122849019,0.464780294373
target_critical_temp_K,cuprate_oxide_proxy,elastic_net,elastic_net;alpha=0.1;l1_ratio=0.8,0.1,0.8,train,11644,16,20.7463831905,14.5084048808,0.591514525221
target_critical_temp_K,cuprate_oxide_proxy,elastic_net,elastic_net;alpha=0.1;l1_ratio=0.8,0.1,0.8,val,3661,16,20.56039239,14.9675137165,0.659732796902
target_critical_temp_K,cuprate_oxide_proxy,elastic_net,elastic_net;alpha=0.1;l1_ratio=0.8,0.1,0.8,test,5958,16,26.4182316117,17.6912035099,0.45075603095
target_critical_temp_K,cuprate_oxide_proxy,elastic_net,elastic_net;alpha=1;l1_ratio=0.2,1,0.2,train,11644,16,21.5691101903,16.0451593424,0.558473996621
target_critical_temp_K,cuprate_oxide_proxy,elastic_net,elastic_net;alpha=1;l1_ratio=0.2,1,0.2,val,3661,16,22.6728228227,17.1237665981,0.586220965237
target_critical_temp_K,cuprate_oxide_proxy,elastic_net,elastic_net;alpha=1;l1_ratio=0.2,1,0.2,test,5958,16,27.3912913335,19.6446178157,0.409550411443
target_critical_temp_K,cuprate_oxide_proxy,elastic_net,elastic_net;alpha=1;l1_ratio=0.5,1,0.5,train,11644,16,21.3777317942,15.7289616463,0.566274380441
target_critical_temp_K,cuprate_oxide_proxy,elastic_net,elastic_net;alpha=1;l1_ratio=0.5,1,0.5,val,3661,16,22.2897699757,16.6965130136,0.60008428803
target_critical_temp_K,cuprate_oxide_proxy,elastic_net,elastic_net;alpha=1;l1_ratio=0.5,1,0.5,test,5958,16,27.3036226377,19.3283690031,0.413323954413
target_critical_temp_K,cuprate_oxide_proxy,elastic_net,elastic_net;alpha=1;l1_ratio=0.8,1,0.8,train,11644,16,21.1990264511,15.3605319537,0.573495457129
target_critical_temp_K,cuprate_oxide_proxy,elastic_net,elastic_net;alpha=1;l1_ratio=0.8,1,0.8,val,3661,16,21.8158489978,16.1617104006,0.616909368421
target_critical_temp_K,cuprate_oxide_proxy,elastic_net,elastic_net;alpha=1;l1_ratio=0.8,1,0.8,test,5958,16,27.186587719,18.9445141933,0.418342660383
target_critical_temp_K,cuprate_oxide_proxy,huber,huber;alpha=1e-05,1e-05,,train,11644,16,22.7224922363,13.3523636453,0.509991340177
target_critical_temp_K,cuprate_oxide_proxy,huber,huber;alpha=1e-05,1e-05,,val,3661,16,19.1340125002,12.9973300031,0.705307284676
target_critical_temp_K,cuprate_oxide_proxy,huber,huber;alpha=1e-05,1e-05,,test,5958,16,37.130394692,17.2008138004,-0.0849680307832
target_critical_temp_K,cuprate_oxide_proxy,huber,huber;alpha=0.001,0.001,,train,11644,16,22.7225037314,13.3523606247,0.509990844395
target_critical_temp_K,cuprate_oxide_proxy,huber,huber;alpha=0.001,0.001,,val,3661,16,19.1340515333,12.9973647343,0.705306082338
target_critical_temp_K,cuprate_oxide_proxy,huber,huber;alpha=0.001,0.001,,test,5958,16,37.1301774713,17.2007870938,-0.0849553362354
target_critical_temp_K,cuprate_oxide_proxy,huber,huber;alpha=0.1,0.1,,train,11644,16,22.7122629585,13.3525848743,0.510432427926
target_critical_temp_K,cuprate_oxide_proxy,huber,huber;alpha=0.1,0.1,,val,3661,16,19.1345515728,12.9992187162,0.705290679377
target_critical_temp_K,cuprate_oxide_proxy,huber,huber;alpha=0.1,0.1,,test,5958,16,37.0537581488,17.1955426518,-0.0804939393161
target_critical_temp_K,iron_pnictide_chalcogenide_proxy,ordinary_least_squares,ordinary_least_squares,,,train,11644,16,21.8172106241,15.1318178525,0.548258201496
target_critical_temp_K,iron_pnictide_chalcogenide_proxy,ordinary_least_squares,ordinary_least_squares,,,val,3661,16,22.8773421488,16.20835181,0.578722340834
target_critical_temp_K,iron_pnictide_chalcogenide_proxy,ordinary_least_squares,ordinary_least_squares,,,test,5958,16,27.8213279929,18.5560528092,0.390865044087
target_critical_temp_K,iron_pnictide_chalcogenide_proxy,ridge,ridge;alpha=0.0001,0.0001,,train,11644,16,21.8172106241,15.1318178913,0.548258201496
target_critical_temp_K,iron_pnictide_chalcogenide_proxy,ridge,ridge;alpha=0.0001,0.0001,,val,3661,16,22.8773421807,16.2083518849,0.578722339658
target_critical_temp_K,iron_pnictide_chalcogenide_proxy,ridge,ridge;alpha=0.0001,0.0001,,test,5958,16,27.8213279939,18.5560528601,0.390865044043
target_critical_temp_K,iron_pnictide_chalcogenide_proxy,ridge,ridge;alpha=0.01,0.01,,train,11644,16,21.8172106242,15.1318217311,0.548258201492
target_critical_temp_K,iron_pnictide_chalcogenide_proxy,ridge,ridge;alpha=0.01,0.01,,val,3661,16,22.8773453428,16.2083593055,0.578722223201
target_critical_temp_K,iron_pnictide_chalcogenide_proxy,ridge,ridge;alpha=0.01,0.01,,test,5958,16,27.821328094,18.5560579023,0.390865039664
target_critical_temp_K,iron_pnictide_chalcogenide_proxy,ridge,ridge;alpha=1,1,,train,11644,16,21.8172115912,15.1322058503,0.548258161446
target_critical_temp_K,iron_pnictide_chalcogenide_proxy,ridge,ridge;alpha=1,1,,val,3661,16,22.8776613631,16.2090988647,0.578710584327
target_critical_temp_K,iron_pnictide_chalcogenide_proxy,ridge,ridge;alpha=1,1,,test,5958,16,27.8213386705,18.5565617581,0.390864576526
target_critical_temp_K,iron_pnictide_chalcogenide_proxy,ridge,ridge;alpha=10,10,,train,11644,16,21.8172953658,15.1357292712,0.548254692206
target_critical_temp_K,iron_pnictide_chalcogenide_proxy,ridge,ridge;alpha=10,10,,val,3661,16,22.8805122517,16.2163995825,0.578605580238
target_critical_temp_K,iron_pnictide_chalcogenide_proxy,ridge,ridge;alpha=10,10,,test,5958,16,27.8214830415,18.561111602,0.390858254636
